Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
392049 -- Other,,16.00,16.00,1,,,,South Africa
392051 -- Of poly(methyl methacrylate),,16.00,16.00,1,,,,South Africa
392059 -- Other,,16.00,16.00,1,,,,South Africa
392061 -- Of polycarbonates,,16.00,16.00,1,,,,South Africa
392062 -- Of poly(ethylene terephthalate),"9,355",12.50,12.50,4,,,,South Africa
392063 -- Of unsaturated polyesters,,16.00,16.00,1,,,,South Africa
392069 -- Of other polyesters,"4,920",16.00,16.00,1,,,,South Africa
392071 -- Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392073 -- Of cellulose acetate,,16.00,16.00,2,,,,South Africa
392079 -- Of other cellulose derivatives,"24,213",9.00,9.00,2,,,,South Africa
392091 -- Of poly(vinyl butyral),,16.00,16.00,1,,,,South Africa
392092 -- Of polyamides,,16.00,16.00,1,,,,South Africa
392093 -- Of amino-resins,,16.00,16.00,1,,,,South Africa
392094 -- Of phenolic resins,,16.00,16.00,1,,,,South Africa
392099 -- Of other plastics,,9.00,9.00,6,,,,South Africa
392111 -- Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392112 -- Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
392113 -- Of polyurethanes,,9.00,9.00,2,,,,South Africa
392114 -- Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392119 -- Of other plastics,"259,038",16.00,16.00,1,,,,South Africa
392190 - Other,,10.40,10.40,5,,,,South Africa
"392210 - Baths, shower-baths, sinks and wash-basins",,18.00,18.00,1,,,,South Africa
392220 - Lavatory seats and covers,943,18.00,18.00,1,,,,South Africa
392290 - Other,,18.00,18.00,1,,,,South Africa
"392310 - Boxes, cases, crates and similar articles","3,892",18.00,18.00,2,,,,South Africa
392321 -- Of polymers of ethylene,,18.00,18.00,2,,,,South Africa
392329 -- Of other plastics,328,18.00,18.00,2,,,,South Africa
"392330 - Carboys, bottles, flasks and similar articles",67,18.00,18.00,1,,,,South Africa
"392340 - Spools, cops, bobbins and similar supports",,18.00,18.00,1,,,,South Africa
"392350 - Stoppers, lids, caps and other closures","207,110",18.00,18.00,1,,,,South Africa
392390 - Other,,18.00,18.00,1,,,,South Africa
392410 - Tableware and kitchenware,"13,855",18.00,18.00,1,,,,South Africa
392490 - Other,"6,751",18.00,18.00,1,,,,South Africa
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,18.00,18.00,1,,,,South Africa
"392520 - Doors, windows and their frames and thresholds for doors",,18.00,18.00,1,,,,South Africa
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,18.00,18.00,1,,,,South Africa
392590 - Other,,18.00,18.00,2,,,,South Africa
392610 - Office or school supplies,,18.00,18.00,1,,,,South Africa
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,18.00,18.00,1,,,,South Africa
"392630 - Fittings for furniture, coachwork or the like",166,18.00,18.00,1,,,,South Africa
392640 - Statuettes and other ornamental articles,131,18.00,18.00,1,,,,South Africa
392690 - Other,"68,384",12.22,12.22,9,,,,South Africa
,2012,"73,852,896",10.90,10.90,306,,,,South Africa
390110 - Polyethylene having a specific gravity of less than 0.94,"5,874,564",14.00,14.00,3,,,,South Africa
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,South Africa
390130 - Ethylene-vinyl acetate copolymers,,14.00,14.00,2,,,,South Africa
390190 - Other,,8.00,8.00,6,,,,South Africa
390210 - Polypropylene,"43,721,368",14.00,14.00,2,,,,South Africa
390220 - Polyisobutylene,,14.00,14.00,1,,,,South Africa
390230 - Propylene copolymers,"21,353,589",14.00,14.00,1,,,,South Africa
390290 - Other,,14.00,14.00,1,,,,South Africa
390311 -- Expansible,,14.00,14.00,2,,,,South Africa
390319 -- Other,,14.00,14.00,1,,,,South Africa
390320 - Styrene-acrylonitrile (SAN) copolymers,,2.00,2.00,1,,,,South Africa
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,8.00,8.00,2,,,,South Africa
390390 - Other,,10.00,10.00,3,,,,South Africa
"390410 - Poly(vinyl chloride), not mixed with any other substances","1,763,883",14.00,14.00,3,,,,South Africa
390421 -- Non-plasticised,,14.00,14.00,1,,,,South Africa
390422 -- Plasticised,,14.00,14.00,1,,,,South Africa
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,South Africa
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,South Africa
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,South Africa
390461 -- Polytetrafluoroethylene,,2.00,2.00,2,,,,South Africa
390469 -- Other,,2.00,2.00,2,,,,South Africa
390490 - Other,,14.00,14.00,1,,,,South Africa
390512 -- In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390519 -- Other,,14.00,14.00,2,,,,South Africa
390521 -- In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390529 -- Other,,14.00,14.00,1,,,,South Africa
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,2.00,2.00,1,,,,South Africa
390591 -- Copolymers,,8.00,8.00,2,,,,South Africa
390599 -- Other,,4.50,4.50,4,,,,South Africa
390610 - Poly(methyl methacrylate),,14.00,14.00,1,,,,South Africa
390690 - Other,,9.76,9.76,17,,,,South Africa
390710 - Polyacetals,,8.67,8.67,9,,,,South Africa
390720 - Other polyethers,,8.67,8.67,9,,,,South Africa
390730 - Epoxide resins,179,14.00,14.00,5,,,,South Africa
390740 - Polycarbonates,,8.00,8.00,2,,,,South Africa
390750 - Alkyd resins,,14.00,14.00,2,,,,South Africa
390760 - Poly(ethylene terephthalate),,14.00,14.00,1,,,,South Africa
390770 - Poly(lactic acid),,14.00,14.00,1,,,,South Africa
390791 -- Unsaturated,,14.00,14.00,1,,,,South Africa
390799 -- Other,,8.00,8.00,6,,,,South Africa
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.80,6.80,10,,,,South Africa
390890 - Other,,6.00,6.00,3,,,,South Africa
390910 - Urea resins; thiourea resins,,14.00,14.00,1,,,,South Africa
390920 - Melamine resins,,14.00,14.00,4,,,,South Africa
390930 - Other amino-resins,,17.00,17.00,2,,,,South Africa
390940 - Phenolic resins,688,14.00,14.00,4,,,,South Africa
390950 - Polyurethanes,,9.20,9.20,5,,,,South Africa
391000 Silicones in primary forms.,141,9.50,9.50,8,,,,South Africa
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,3,,,,South Africa
391190 - Other,,6.00,6.00,12,,,,South Africa
391211 -- Non-plasticised,,5.00,5.00,2,,,,South Africa
391212 -- Plasticised,,2.00,2.00,1,,,,South Africa
391220 - Cellulose nitrates (including collodions),,14.00,14.00,3,,,,South Africa
391231 -- Carboxymethylcellulose and its salts,"138,817",14.00,14.00,4,,,,South Africa
391239 -- Other,,2.00,2.00,4,,,,South Africa
391290 - Other,,10.00,10.00,6,,,,South Africa
"391310 - Alginic acid, its salts and esters",,2.00,2.00,1,,,,South Africa
391390 - Other,,4.67,4.67,9,,,,South Africa
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,2.00,2.00,3,,,,South Africa
391510 - Of polymers of ethylene,,14.00,14.00,1,,,,South Africa
391520 - Of polymers of styrene,,14.00,14.00,1,,,,South Africa
391530 - Of polymers of vinyl chloride,,14.00,14.00,1,,,,South Africa
391590 - Of other plastics,,14.00,14.00,1,,,,South Africa
391610 - Of polymers of ethylene,,16.00,16.00,1,,,,South Africa
391620 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391690 - Of other plastics,"1,211",16.00,16.00,2,,,,South Africa
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,6.67,6.67,3,,,,South Africa
391721 -- Of polymers of ethylene,702,16.00,16.00,1,,,,South Africa
391722 -- Of polymers of propylene,,16.00,16.00,1,,,,South Africa
391723 -- Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391729 -- Of other plastics,"27,667",16.00,16.00,1,,,,South Africa
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",28,16.00,16.00,1,,,,South Africa
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","159,401",12.50,12.50,8,,,,South Africa
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,16.00,16.00,1,,,,South Africa
391739 -- Other,"3,672",16.00,16.00,1,,,,South Africa
391740 - Fittings,"13,247",8.00,8.00,2,,,,South Africa
391810 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391890 - Of other plastics,,16.00,16.00,1,,,,South Africa
391910 - In rolls of a width not exceeding 20 cm,,16.00,16.00,1,,,,South Africa
391990 - Other,15,16.00,16.00,1,,,,South Africa
392010 - Of polymers of ethylene,,6.67,6.67,3,,,,South Africa
392020 - Of polymers of propylene,,9.00,9.00,4,,,,South Africa
392030 - Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392043 -- Containing by weight not less than 6 % of plasticisers,,16.00,16.00,2,,,,South Africa
392049 -- Other,,16.00,16.00,1,,,,South Africa
392051 -- Of poly(methyl methacrylate),,16.00,16.00,1,,,,South Africa
392059 -- Other,,16.00,16.00,1,,,,South Africa
392061 -- Of polycarbonates,,16.00,16.00,1,,,,South Africa
392062 -- Of poly(ethylene terephthalate),"2,510",12.50,12.50,4,,,,South Africa
392063 -- Of unsaturated polyesters,,16.00,16.00,1,,,,South Africa
392069 -- Of other polyesters,"19,648",16.00,16.00,1,,,,South Africa
392071 -- Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392073 -- Of cellulose acetate,,16.00,16.00,2,,,,South Africa
392079 -- Of other cellulose derivatives,,9.00,9.00,2,,,,South Africa
392091 -- Of poly(vinyl butyral),,16.00,16.00,1,,,,South Africa
392092 -- Of polyamides,,16.00,16.00,1,,,,South Africa
392093 -- Of amino-resins,,16.00,16.00,1,,,,South Africa
392094 -- Of phenolic resins,,16.00,16.00,1,,,,South Africa
392099 -- Of other plastics,,9.00,9.00,6,,,,South Africa
392111 -- Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392112 -- Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
392113 -- Of polyurethanes,,9.00,9.00,2,,,,South Africa
392114 -- Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392119 -- Of other plastics,"230,882",16.00,16.00,1,,,,South Africa
392190 - Other,"1,414",10.40,10.40,5,,,,South Africa
"392210 - Baths, shower-baths, sinks and wash-basins",,18.00,18.00,1,,,,South Africa
392220 - Lavatory seats and covers,"4,123",18.00,18.00,1,,,,South Africa
392290 - Other,,18.00,18.00,1,,,,South Africa
"392310 - Boxes, cases, crates and similar articles",,18.00,18.00,2,,,,South Africa
392321 -- Of polymers of ethylene,,18.00,18.00,2,,,,South Africa
392329 -- Of other plastics,"1,016",18.00,18.00,2,,,,South Africa
"392330 - Carboys, bottles, flasks and similar articles",610,18.00,18.00,1,,,,South Africa
"392340 - Spools, cops, bobbins and similar supports",,18.00,18.00,1,,,,South Africa
"392350 - Stoppers, lids, caps and other closures","404,885",18.00,18.00,1,,,,South Africa
392390 - Other,,18.00,18.00,1,,,,South Africa
392410 - Tableware and kitchenware,"17,628",18.00,18.00,1,,,,South Africa
392490 - Other,,18.00,18.00,1,,,,South Africa
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,18.00,18.00,1,,,,South Africa
"392520 - Doors, windows and their frames and thresholds for doors",,18.00,18.00,1,,,,South Africa
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,18.00,18.00,1,,,,South Africa
392590 - Other,642,18.00,18.00,2,,,,South Africa
392610 - Office or school supplies,,18.00,18.00,1,,,,South Africa
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,18.00,18.00,1,,,,South Africa
"392630 - Fittings for furniture, coachwork or the like","1,219",18.00,18.00,1,,,,South Africa
392640 - Statuettes and other ornamental articles,"1,168",18.00,18.00,1,,,,South Africa
392690 - Other,"107,981",12.22,12.22,9,,,,South Africa
,2011,"75,304,000",10.93,10.93,305,,,,South Africa
390110 - Polyethylene having a specific gravity of less than 0.94,"764,000",14.00,14.00,3,,,,South Africa
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,South Africa
390130 - Ethylene-vinyl acetate copolymers,"11,000",14.00,14.00,2,,,,South Africa
390190 - Other,,8.00,8.00,6,,,,South Africa
390210 - Polypropylene,"46,781,000",14.00,14.00,2,,,,South Africa
390220 - Polyisobutylene,,14.00,14.00,1,,,,South Africa
390230 - Propylene copolymers,"17,587,000",14.00,14.00,1,,,,South Africa
390290 - Other,,14.00,14.00,1,,,,South Africa
390311 -- Expansible,,14.00,14.00,2,,,,South Africa
390319 -- Other,,14.00,14.00,1,,,,South Africa
390320 - Styrene-acrylonitrile (SAN) copolymers,,14.00,14.00,1,,,,South Africa
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,14.00,14.00,2,,,,South Africa
390390 - Other,,10.00,10.00,3,,,,South Africa
"390410 - Poly(vinyl chloride), not mixed with any other substances","8,850,000",14.00,14.00,3,,,,South Africa
390421 -- Non-plasticised,,14.00,14.00,1,,,,South Africa
390422 -- Plasticised,,14.00,14.00,1,,,,South Africa
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,South Africa
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,South Africa
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,South Africa
390461 -- Polytetrafluoroethylene,,2.00,2.00,2,,,,South Africa
390469 -- Other,,2.00,2.00,2,,,,South Africa
390490 - Other,,14.00,14.00,1,,,,South Africa
390512 -- In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390519 -- Other,,14.00,14.00,2,,,,South Africa
390521 -- In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390529 -- Other,,14.00,14.00,1,,,,South Africa
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,2.00,2.00,1,,,,South Africa
390591 -- Copolymers,,8.00,8.00,2,,,,South Africa
390599 -- Other,,4.50,4.50,4,,,,South Africa
390610 - Poly(methyl methacrylate),,14.00,14.00,1,,,,South Africa
390690 - Other,"42,000",9.76,9.76,17,,,,South Africa
390710 - Polyacetals,,8.67,8.67,9,,,,South Africa
390720 - Other polyethers,,8.67,8.67,9,,,,South Africa
390730 - Epoxide resins,"3,000",14.00,14.00,5,,,,South Africa
390740 - Polycarbonates,,8.00,8.00,2,,,,South Africa
390750 - Alkyd resins,,14.00,14.00,2,,,,South Africa
390760 - Poly(ethylene terephthalate),,14.00,14.00,1,,,,South Africa
390770 - Poly(lactic acid),,14.00,14.00,1,,,,South Africa
390791 -- Unsaturated,,14.00,14.00,1,,,,South Africa
390799 -- Other,,8.00,8.00,6,,,,South Africa
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.80,6.80,10,,,,South Africa
390890 - Other,,6.00,6.00,3,,,,South Africa
390910 - Urea resins; thiourea resins,,14.00,14.00,1,,,,South Africa
390920 - Melamine resins,,14.00,14.00,4,,,,South Africa
390930 - Other amino-resins,,14.00,14.00,2,,,,South Africa
390940 - Phenolic resins,,14.00,14.00,4,,,,South Africa
390950 - Polyurethanes,,9.20,9.20,5,,,,South Africa
391000 Silicones in primary forms.,,9.50,9.50,8,,,,South Africa
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,3,,,,South Africa
391190 - Other,,6.00,6.00,12,,,,South Africa
391211 -- Non-plasticised,,5.00,5.00,2,,,,South Africa
391212 -- Plasticised,,2.00,2.00,1,,,,South Africa
391220 - Cellulose nitrates (including collodions),,14.00,14.00,3,,,,South Africa
391231 -- Carboxymethylcellulose and its salts,,14.00,14.00,4,,,,South Africa
391239 -- Other,,2.00,2.00,4,,,,South Africa
391290 - Other,,10.00,10.00,6,,,,South Africa
"391310 - Alginic acid, its salts and esters",,2.00,2.00,1,,,,South Africa
391390 - Other,,4.67,4.67,9,,,,South Africa
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,2.00,2.00,3,,,,South Africa
391510 - Of polymers of ethylene,,14.00,14.00,1,,,,South Africa
391520 - Of polymers of styrene,,14.00,14.00,1,,,,South Africa
391530 - Of polymers of vinyl chloride,"59,000",14.00,14.00,1,,,,South Africa
391590 - Of other plastics,,14.00,14.00,1,,,,South Africa
391610 - Of polymers of ethylene,"1,000",16.00,16.00,1,,,,South Africa
391620 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391690 - Of other plastics,"7,000",16.00,16.00,2,,,,South Africa
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,6.67,6.67,3,,,,South Africa
391721 -- Of polymers of ethylene,,16.00,16.00,1,,,,South Africa
391722 -- Of polymers of propylene,,16.00,16.00,1,,,,South Africa
391723 -- Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391729 -- Of other plastics,"29,000",16.00,16.00,1,,,,South Africa
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,16.00,16.00,1,,,,South Africa
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","80,000",12.50,12.50,8,,,,South Africa
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,16.00,16.00,1,,,,South Africa
391739 -- Other,,16.00,16.00,1,,,,South Africa
391740 - Fittings,"2,000",8.00,8.00,2,,,,South Africa
391810 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391890 - Of other plastics,,16.00,16.00,1,,,,South Africa
391910 - In rolls of a width not exceeding 20 cm,,16.00,16.00,1,,,,South Africa
391990 - Other,"1,000",16.00,16.00,1,,,,South Africa
392010 - Of polymers of ethylene,,6.67,6.67,3,,,,South Africa
392020 - Of polymers of propylene,,9.00,9.00,4,,,,South Africa
392030 - Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392043 -- Containing by weight not less than 6 % of plasticisers,,16.00,16.00,2,,,,South Africa
392049 -- Other,,16.00,16.00,1,,,,South Africa
392051 -- Of poly(methyl methacrylate),,16.00,16.00,1,,,,South Africa
392059 -- Other,,16.00,16.00,1,,,,South Africa
392061 -- Of polycarbonates,"2,000",16.00,16.00,1,,,,South Africa
392062 -- Of poly(ethylene terephthalate),"5,000",12.50,12.50,4,,,,South Africa
392063 -- Of unsaturated polyesters,,16.00,16.00,1,,,,South Africa
392069 -- Of other polyesters,"8,000",16.00,16.00,1,,,,South Africa
392071 -- Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392073 -- Of cellulose acetate,,16.00,16.00,2,,,,South Africa
392079 -- Of other cellulose derivatives,,9.00,9.00,2,,,,South Africa
392091 -- Of poly(vinyl butyral),,16.00,16.00,1,,,,South Africa
392092 -- Of polyamides,,16.00,16.00,1,,,,South Africa
392093 -- Of amino-resins,,16.00,16.00,1,,,,South Africa
392094 -- Of phenolic resins,,16.00,16.00,1,,,,South Africa
392099 -- Of other plastics,,9.00,9.00,6,,,,South Africa
392111 -- Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392112 -- Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
392113 -- Of polyurethanes,,9.00,9.00,2,,,,South Africa
392114 -- Of regenerated cellulose,,16.00,16.00,1,,,,South Africa
392119 -- Of other plastics,"773,000",16.00,16.00,1,,,,South Africa
392190 - Other,"1,000",10.40,10.40,5,,,,South Africa
"392210 - Baths, shower-baths, sinks and wash-basins",,18.00,18.00,1,,,,South Africa
392220 - Lavatory seats and covers,,18.00,18.00,1,,,,South Africa
392290 - Other,,18.00,18.00,1,,,,South Africa
"392310 - Boxes, cases, crates and similar articles","17,000",18.00,18.00,2,,,,South Africa
392321 -- Of polymers of ethylene,,18.00,18.00,2,,,,South Africa
392329 -- Of other plastics,"1,000",18.00,18.00,2,,,,South Africa
"392330 - Carboys, bottles, flasks and similar articles",,18.00,18.00,1,,,,South Africa
"392340 - Spools, cops, bobbins and similar supports",,18.00,18.00,1,,,,South Africa
"392350 - Stoppers, lids, caps and other closures","10,000",18.00,18.00,1,,,,South Africa
392390 - Other,"1,000",18.00,18.00,1,,,,South Africa
392410 - Tableware and kitchenware,"5,000",18.00,18.00,1,,,,South Africa
392490 - Other,,18.00,18.00,1,,,,South Africa
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,18.00,18.00,1,,,,South Africa
"392520 - Doors, windows and their frames and thresholds for doors",,18.00,18.00,1,,,,South Africa
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,18.00,18.00,1,,,,South Africa
392590 - Other,,18.00,18.00,1,,,,South Africa
392610 - Office or school supplies,,18.00,18.00,1,,,,South Africa
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,18.00,18.00,1,,,,South Africa
"392630 - Fittings for furniture, coachwork or the like",,18.00,18.00,1,,,,South Africa
392640 - Statuettes and other ornamental articles,"1,000",18.00,18.00,1,,,,South Africa
392690 - Other,"263,000",12.22,12.22,9,,,,South Africa
,2010,"37,877,000",11.12,11.12,304,,,,South Africa
390110 - Polyethylene having a specific gravity of less than 0.94,"35,000",14.00,14.00,3,,,,South Africa
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,South Africa
390130 - Ethylene-vinyl acetate copolymers,,14.00,14.00,2,,,,South Africa
390190 - Other,,8.00,8.00,6,,,,South Africa
390210 - Polypropylene,"22,394,000",14.00,14.00,2,,,,South Africa
390220 - Polyisobutylene,,14.00,14.00,1,,,,South Africa
390230 - Propylene copolymers,"6,383,000",14.00,14.00,1,,,,South Africa
390290 - Other,,14.00,14.00,1,,,,South Africa
390311 -- Expansible,,14.00,14.00,2,,,,South Africa
390319 -- Other,,14.00,14.00,1,,,,South Africa
390320 - Styrene-acrylonitrile (SAN) copolymers,,14.00,14.00,1,,,,South Africa
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,14.00,14.00,2,,,,South Africa
390390 - Other,,10.00,10.00,3,,,,South Africa
"390410 - Poly(vinyl chloride), not mixed with any other substances","8,120,000",14.00,14.00,3,,,,South Africa
390421 -- Non-plasticised,,14.00,14.00,1,,,,South Africa
390422 -- Plasticised,,14.00,14.00,1,,,,South Africa
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,South Africa
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,South Africa
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,South Africa
390461 -- Polytetrafluoroethylene,,2.00,2.00,2,,,,South Africa
390469 -- Other,,2.00,2.00,2,,,,South Africa
390490 - Other,,14.00,14.00,1,,,,South Africa
390512 -- In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390519 -- Other,,14.00,14.00,2,,,,South Africa
390521 -- In aqueous dispersion,,14.00,14.00,1,,,,South Africa
390529 -- Other,,14.00,14.00,1,,,,South Africa
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,2.00,2.00,1,,,,South Africa
390591 -- Copolymers,,8.00,8.00,2,,,,South Africa
390599 -- Other,,4.50,4.50,4,,,,South Africa
390610 - Poly(methyl methacrylate),,14.00,14.00,1,,,,South Africa
390690 - Other,"40,000",9.76,9.76,17,,,,South Africa
390710 - Polyacetals,,8.67,8.67,9,,,,South Africa
390720 - Other polyethers,,8.67,8.67,9,,,,South Africa
390730 - Epoxide resins,"3,000",14.00,14.00,5,,,,South Africa
390740 - Polycarbonates,,8.00,8.00,2,,,,South Africa
390750 - Alkyd resins,,14.00,14.00,2,,,,South Africa
390760 - Poly(ethylene terephthalate),,14.00,14.00,1,,,,South Africa
390770 - Poly(lactic acid),,14.00,14.00,1,,,,South Africa
390791 -- Unsaturated,,14.00,14.00,1,,,,South Africa
390799 -- Other,,8.00,8.00,6,,,,South Africa
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.80,6.80,10,,,,South Africa
390890 - Other,,6.00,6.00,3,,,,South Africa
390910 - Urea resins; thiourea resins,,14.00,14.00,1,,,,South Africa
390920 - Melamine resins,,14.00,14.00,4,,,,South Africa
390930 - Other amino-resins,,14.00,14.00,2,,,,South Africa
390940 - Phenolic resins,,14.00,14.00,4,,,,South Africa
390950 - Polyurethanes,"3,000",9.20,9.20,5,,,,South Africa
391000 Silicones in primary forms.,"5,000",9.50,9.50,8,,,,South Africa
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,3,,,,South Africa
391190 - Other,,6.36,6.36,11,,,,South Africa
391211 -- Non-plasticised,,5.00,5.00,2,,,,South Africa
391212 -- Plasticised,,2.00,2.00,1,,,,South Africa
391220 - Cellulose nitrates (including collodions),,14.00,14.00,3,,,,South Africa
391231 -- Carboxymethylcellulose and its salts,,14.00,14.00,4,,,,South Africa
391239 -- Other,,14.00,14.00,4,,,,South Africa
391290 - Other,,10.00,10.00,6,,,,South Africa
"391310 - Alginic acid, its salts and esters",,2.00,2.00,1,,,,South Africa
391390 - Other,,4.67,4.67,9,,,,South Africa
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,2.00,2.00,3,,,,South Africa
391510 - Of polymers of ethylene,,14.00,14.00,1,,,,South Africa
391520 - Of polymers of styrene,,14.00,14.00,1,,,,South Africa
391530 - Of polymers of vinyl chloride,,14.00,14.00,1,,,,South Africa
391590 - Of other plastics,,14.00,14.00,1,,,,South Africa
391610 - Of polymers of ethylene,,16.00,16.00,1,,,,South Africa
391620 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391690 - Of other plastics,"4,000",16.00,16.00,2,,,,South Africa
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,6.67,6.67,3,,,,South Africa
391721 -- Of polymers of ethylene,,16.00,16.00,1,,,,South Africa
391722 -- Of polymers of propylene,,16.00,16.00,1,,,,South Africa
391723 -- Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391729 -- Of other plastics,"43,000",16.00,16.00,1,,,,South Africa
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,16.00,16.00,1,,,,South Africa
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","52,000",12.50,12.50,8,,,,South Africa
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings","14,000",16.00,16.00,1,,,,South Africa
391739 -- Other,,16.00,16.00,1,,,,South Africa
391740 - Fittings,"2,000",8.00,8.00,2,,,,South Africa
391810 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,South Africa
391890 - Of other plastics,,16.00,16.00,1,,,,South Africa
391910 - In rolls of a width not exceeding 20 cm,,16.00,16.00,1,,,,South Africa
391990 - Other,,16.00,16.00,1,,,,South Africa
392010 - Of polymers of ethylene,"1,000",6.67,6.67,3,,,,South Africa
392020 - Of polymers of propylene,,9.00,9.00,4,,,,South Africa
392030 - Of polymers of styrene,,16.00,16.00,1,,,,South Africa
392043 -- Containing by weight not less than 6 % of plasticisers,,16.00,16.00,2,,,,South Africa
392049 -- Other,,16.00,16.00,1,,,,South Africa
392051 -- Of poly(methyl methacrylate),,16.00,16.00,1,,,,South Africa
392059 -- Other,,16.00,16.00,1,,,,South Africa
392061 -- Of polycarbonates,,16.00,16.00,1,,,,South Africa
392062 -- Of poly(ethylene terephthalate),"11,000",12.50,12.50,4,,,,South Africa
392063 -- Of unsaturated polyesters,,16.00,16.00,1,,,,South Africa
392069 -- Of other polyesters,,16.00,16.00,1,,,,South Africa
