Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
950699 -- Other,"23,572",1.35,1.35,2,,,,Nepal
950710 - Fishing rods,,3.70,3.70,1,,,,Nepal
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Nepal
950730 - Fishing reels,,3.70,3.70,1,,,,Nepal
950790 - Other,,3.70,3.70,1,,,,Nepal
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Nepal
950890 - Other,,1.70,1.70,1,,,,Nepal
,2008,"303,336",2.12,2.12,66,,,,Nepal
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","64,819",2.09,2.09,18,,,,Nepal
950410 - Video games of a kind used with a television receiver,,0.00,0.00,1,,,,Nepal
950420 - Articles and accessories for billiards of all kinds,29,0.00,0.00,2,,,,Nepal
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,0.00,0.00,4,,,,Nepal
950440 - Playing cards,,2.70,2.70,1,,,,Nepal
950490 - Other,"9,390",0.00,0.00,2,,,,Nepal
950510 - Articles for Christmas festivities,"181,712",1.35,1.35,2,,,,Nepal
950590 - Other,"10,679",2.70,2.70,1,,,,Nepal
950611 -- Skis,,3.70,3.70,4,,,,Nepal
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Nepal
950619 -- Other,,2.70,2.70,1,,,,Nepal
950621 -- Sailboards,,2.70,2.70,1,,,,Nepal
950629 -- Other,,2.70,2.70,1,,,,Nepal
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Nepal
950632 -- Balls,,2.70,2.70,1,,,,Nepal
950639 -- Other,"7,119",2.70,2.70,2,,,,Nepal
950640 - Articles and equipment for table-tennis,,2.70,2.70,2,,,,Nepal
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Nepal
950659 -- Other,,2.70,2.70,1,,,,Nepal
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Nepal
950662 -- Inflatable,"12,363",2.70,2.70,2,,,,Nepal
950669 -- Other,"8,467",1.35,1.35,2,,,,Nepal
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,Nepal
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,2.70,2,,,,Nepal
950699 -- Other,"8,760",1.35,1.35,2,,,,Nepal
950710 - Fishing rods,,3.70,3.70,1,,,,Nepal
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Nepal
950730 - Fishing reels,,3.70,3.70,1,,,,Nepal
950790 - Other,,3.70,3.70,1,,,,Nepal
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Nepal
950890 - Other,,1.70,1.70,1,,,,Nepal
,2007,"177,356",2.12,2.12,66,,,,Nepal
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","52,230",2.09,2.09,18,,,,Nepal
950410 - Video games of a kind used with a television receiver,,0.00,0.00,1,,,,Nepal
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,2,,,,Nepal
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,0.00,0.00,4,,,,Nepal
950440 - Playing cards,397,2.70,2.70,1,,,,Nepal
950490 - Other,"7,524",0.00,0.00,2,,,,Nepal
950510 - Articles for Christmas festivities,"85,341",1.35,1.35,2,,,,Nepal
