Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
392590 - Other,,10.00,10.00,1,,,,Nepal
392610 - Office or school supplies,,10.00,10.00,2,,,,Nepal
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,1,,,,Nepal
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,1,,,,Nepal
392640 - Statuettes and other ornamental articles,,10.00,10.00,1,,,,Nepal
392690 - Other,,6.67,6.67,3,,,,Nepal
,2015,,6.39,6.39,230,,,,Nepal
390110 - Polyethylene having a specific gravity of less than 0.94,,5.00,5.00,2,,,,Nepal
390120 - Polyethylene having a specific gravity of 0.94 or more,,5.00,5.00,2,,,,Nepal
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,2,,,,Nepal
390190 - Other,,5.00,5.00,2,,,,Nepal
390210 - Polypropylene,,5.00,5.00,2,,,,Nepal
390220 - Polyisobutylene,,5.00,5.00,2,,,,Nepal
390230 - Propylene copolymers,,5.00,5.00,2,,,,Nepal
390290 - Other,,5.00,5.00,2,,,,Nepal
390311 -- Expansible,,5.00,5.00,2,,,,Nepal
390319 -- Other,,5.00,5.00,2,,,,Nepal
390320 - Styrene-acrylonitrile (SAN) copolymers,,5.00,5.00,2,,,,Nepal
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,2,,,,Nepal
390390 - Other,,5.00,5.00,2,,,,Nepal
"390410 - Poly(vinyl chloride), not mixed with any other substances",,5.00,5.00,2,,,,Nepal
390421 -- Non-plasticised,,5.00,5.00,2,,,,Nepal
390422 -- Plasticised,,5.00,5.00,2,,,,Nepal
390430 - Vinyl chloride-vinyl acetate copolymers,,5.00,5.00,2,,,,Nepal
390440 - Other vinyl chloride copolymers,,5.00,5.00,2,,,,Nepal
390450 - Vinylidene chloride polymers,,5.00,5.00,2,,,,Nepal
390461 -- Polytetrafluoroethylene,,5.00,5.00,2,,,,Nepal
390469 -- Other,,5.00,5.00,2,,,,Nepal
390490 - Other,,5.00,5.00,2,,,,Nepal
390512 -- In aqueous dispersion,,5.00,5.00,2,,,,Nepal
390519 -- Other,,5.00,5.00,2,,,,Nepal
390521 -- In aqueous dispersion,,5.00,5.00,2,,,,Nepal
390529 -- Other,,5.00,5.00,2,,,,Nepal
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,5.00,5.00,2,,,,Nepal
390591 -- Copolymers,,5.00,5.00,2,,,,Nepal
390599 -- Other,,5.00,5.00,2,,,,Nepal
390610 - Poly(methyl methacrylate),,5.00,5.00,2,,,,Nepal
390690 - Other,,5.00,5.00,2,,,,Nepal
390710 - Polyacetals,,5.00,5.00,2,,,,Nepal
390720 - Other polyethers,,5.00,5.00,2,,,,Nepal
390730 - Epoxide resins,,5.00,5.00,2,,,,Nepal
390740 - Polycarbonates,,5.00,5.00,2,,,,Nepal
390750 - Alkyd resins,,5.00,5.00,2,,,,Nepal
390760 - Poly(ethylene terephthalate),,5.00,5.00,2,,,,Nepal
390770 - Poly(lactic acid),,5.00,5.00,2,,,,Nepal
390791 -- Unsaturated,,5.00,5.00,2,,,,Nepal
390799 -- Other,,5.00,5.00,2,,,,Nepal
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,5.00,5.00,2,,,,Nepal
390890 - Other,,5.00,5.00,2,,,,Nepal
390910 - Urea resins; thiourea resins,,5.00,5.00,2,,,,Nepal
390920 - Melamine resins,,5.00,5.00,2,,,,Nepal
390930 - Other amino-resins,,5.00,5.00,2,,,,Nepal
390940 - Phenolic resins,,5.00,5.00,2,,,,Nepal
390950 - Polyurethanes,,5.00,5.00,2,,,,Nepal
391000 Silicones in primary forms.,,5.00,5.00,2,,,,Nepal
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,5.00,5.00,2,,,,Nepal
391190 - Other,,5.00,5.00,2,,,,Nepal
391211 -- Non-plasticised,,5.00,5.00,2,,,,Nepal
391212 -- Plasticised,,5.00,5.00,2,,,,Nepal
391220 - Cellulose nitrates (including collodions),,5.00,5.00,2,,,,Nepal
391231 -- Carboxymethylcellulose and its salts,,5.00,5.00,2,,,,Nepal
391239 -- Other,,5.00,5.00,2,,,,Nepal
391290 - Other,,5.00,5.00,2,,,,Nepal
"391310 - Alginic acid, its salts and esters",,5.00,5.00,2,,,,Nepal
391390 - Other,,5.00,5.00,2,,,,Nepal
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,5.00,5.00,2,,,,Nepal
391510 - Of polymers of ethylene,,7.50,7.50,2,,,,Nepal
391520 - Of polymers of styrene,,7.50,7.50,2,,,,Nepal
391530 - Of polymers of vinyl chloride,,7.50,7.50,2,,,,Nepal
391590 - Of other plastics,,7.50,7.50,2,,,,Nepal
391610 - Of polymers of ethylene,,10.00,10.00,1,,,,Nepal
391620 - Of polymers of vinyl chloride,,10.00,10.00,1,,,,Nepal
391690 - Of other plastics,,10.00,10.00,1,,,,Nepal
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,1,,,,Nepal
391721 -- Of polymers of ethylene,,7.50,7.50,2,,,,Nepal
391722 -- Of polymers of propylene,,7.50,7.50,2,,,,Nepal
391723 -- Of polymers of vinyl chloride,,7.50,7.50,2,,,,Nepal
391729 -- Of other plastics,,7.50,7.50,2,,,,Nepal
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,7.50,7.50,2,,,,Nepal
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings",,7.50,7.50,2,,,,Nepal
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,7.50,7.50,2,,,,Nepal
391739 -- Other,,7.50,7.50,2,,,,Nepal
391740 - Fittings,,7.50,7.50,2,,,,Nepal
391810 - Of polymers of vinyl chloride,,10.00,10.00,1,,,,Nepal
391890 - Of other plastics,,10.00,10.00,1,,,,Nepal
391910 - In rolls of a width not exceeding 20 cm,,7.50,7.50,2,,,,Nepal
391990 - Other,,7.50,7.50,2,,,,Nepal
392010 - Of polymers of ethylene,,7.50,7.50,2,,,,Nepal
392020 - Of polymers of propylene,,7.50,7.50,2,,,,Nepal
392030 - Of polymers of styrene,,7.50,7.50,2,,,,Nepal
392043 -- Containing by weight not less than 6 % of plasticisers,,7.50,7.50,2,,,,Nepal
392049 -- Other,,7.50,7.50,2,,,,Nepal
392051 -- Of poly(methyl methacrylate),,7.50,7.50,2,,,,Nepal
392059 -- Other,,7.50,7.50,2,,,,Nepal
392061 -- Of polycarbonates,,7.50,7.50,2,,,,Nepal
392062 -- Of poly(ethylene terephthalate),,7.50,7.50,2,,,,Nepal
392063 -- Of unsaturated polyesters,,7.50,7.50,2,,,,Nepal
392069 -- Of other polyesters,,7.50,7.50,2,,,,Nepal
392071 -- Of regenerated cellulose,,7.50,7.50,2,,,,Nepal
392073 -- Of cellulose acetate,,7.50,7.50,2,,,,Nepal
392079 -- Of other cellulose derivatives,,7.50,7.50,2,,,,Nepal
392091 -- Of poly(vinyl butyral),,7.50,7.50,2,,,,Nepal
392092 -- Of polyamides,,7.50,7.50,2,,,,Nepal
392093 -- Of amino-resins,,7.50,7.50,2,,,,Nepal
392094 -- Of phenolic resins,,7.50,7.50,2,,,,Nepal
392099 -- Of other plastics,,7.50,7.50,2,,,,Nepal
392111 -- Of polymers of styrene,,5.00,5.00,1,,,,Nepal
392112 -- Of polymers of vinyl chloride,,5.00,5.00,1,,,,Nepal
392113 -- Of polyurethanes,,5.00,5.00,1,,,,Nepal
392114 -- Of regenerated cellulose,,5.00,5.00,1,,,,Nepal
392119 -- Of other plastics,,5.00,5.00,1,,,,Nepal
392190 - Other,,5.00,5.00,1,,,,Nepal
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Nepal
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Nepal
392290 - Other,,10.00,10.00,1,,,,Nepal
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,1,,,,Nepal
392321 -- Of polymers of ethylene,,8.33,8.33,3,,,,Nepal
392329 -- Of other plastics,,8.33,8.33,3,,,,Nepal
"392330 - Carboys, bottles, flasks and similar articles",,6.67,6.67,3,,,,Nepal
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Nepal
"392350 - Stoppers, lids, caps and other closures",,6.67,6.67,3,,,,Nepal
392390 - Other,,10.00,10.00,1,,,,Nepal
392410 - Tableware and kitchenware,,10.00,10.00,1,,,,Nepal
392490 - Other,,10.00,10.00,1,,,,Nepal
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,10.00,1,,,,Nepal
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Nepal
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,10.00,1,,,,Nepal
392590 - Other,,10.00,10.00,1,,,,Nepal
392610 - Office or school supplies,,10.00,10.00,2,,,,Nepal
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,1,,,,Nepal
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,1,,,,Nepal
392640 - Statuettes and other ornamental articles,,10.00,10.00,1,,,,Nepal
392690 - Other,,6.67,6.67,3,,,,Nepal
,2009,,6.56,6.56,240,,,,Nepal
390110 - Polyethylene having a specific gravity of less than 0.94,,5.00,5.00,2,,,,Nepal
390120 - Polyethylene having a specific gravity of 0.94 or more,,5.00,5.00,2,,,,Nepal
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,2,,,,Nepal
390190 - Other,,5.00,5.00,2,,,,Nepal
390210 - Polypropylene,,5.00,5.00,2,,,,Nepal
390220 - Polyisobutylene,,5.00,5.00,2,,,,Nepal
390230 - Propylene copolymers,,5.00,5.00,2,,,,Nepal
390290 - Other,,5.00,5.00,2,,,,Nepal
390311 -- Expansible,,5.00,5.00,2,,,,Nepal
390319 -- Other,,5.00,5.00,2,,,,Nepal
390320 - Styrene- Acrylonitrile (SAN) copolymers,,5.00,5.00,2,,,,Nepal
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,2,,,,Nepal
390390 - Other,,5.00,5.00,2,,,,Nepal
"390410 - Poly(vinyl chloride), not mixed with any other substances",,5.00,5.00,2,,,,Nepal
390421 -- Non-plasticised,,5.00,5.00,2,,,,Nepal
390422 -- Plasticised,,5.00,5.00,2,,,,Nepal
390430 - Vinyl chloride-vinyl acetate copolymers,,5.00,5.00,2,,,,Nepal
390440 - Other vinyl chloride copolymers,,5.00,5.00,2,,,,Nepal
390450 - Vinylidene chloride polymers,,5.00,5.00,2,,,,Nepal
390461 -- Polytetrafluoroethylene,,5.00,5.00,2,,,,Nepal
390469 -- Other,,5.00,5.00,2,,,,Nepal
390490 - Other,,5.00,5.00,2,,,,Nepal
390512 -- In aqueous dispersion,,5.00,5.00,2,,,,Nepal
390519 -- Other,,5.00,5.00,2,,,,Nepal
390521 -- In aqueous dispersion,,5.00,5.00,2,,,,Nepal
390529 -- Other,,5.00,5.00,2,,,,Nepal
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,5.00,5.00,2,,,,Nepal
390591 -- Copolymers,,5.00,5.00,2,,,,Nepal
390599 -- Other,,5.00,5.00,2,,,,Nepal
390610 - Poly(methyl methacrylate),,5.00,5.00,2,,,,Nepal
390690 - Other,,5.00,5.00,2,,,,Nepal
390710 - Polyacetals,,5.00,5.00,2,,,,Nepal
390720 - Other polyethers,,5.00,5.00,2,,,,Nepal
390730 - Epoxide resins,,5.00,5.00,2,,,,Nepal
390740 - Polycarbonates,,5.00,5.00,2,,,,Nepal
390750 - Alkyd resins,,5.00,5.00,2,,,,Nepal
390760 - Poly(ethylene terephthalate),,5.00,5.00,2,,,,Nepal
390791 -- Unsaturated,,5.00,5.00,2,,,,Nepal
390799 -- Other,,5.00,5.00,2,,,,Nepal
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,5.00,5.00,2,,,,Nepal
390890 - Other,,5.00,5.00,2,,,,Nepal
390910 - Urea resins; thiourea resins,,5.00,5.00,2,,,,Nepal
390920 - Melamine resins,,5.00,5.00,2,,,,Nepal
390930 - Other amino-resins,,5.00,5.00,2,,,,Nepal
390940 - Phenolic resins,,5.00,5.00,2,,,,Nepal
390950 - Polyurethanes,,5.00,5.00,2,,,,Nepal
391000 Silicones in primary forms.,,5.00,5.00,2,,,,Nepal
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,5.00,5.00,2,,,,Nepal
391190 - Other,,5.00,5.00,2,,,,Nepal
391211 -- Non-plasticised,,5.00,5.00,2,,,,Nepal
391212 -- Plasticised,,5.00,5.00,2,,,,Nepal
391220 - Cellulose nitrates (including collodions),,5.00,5.00,2,,,,Nepal
391231 -- Carboxymethylcellulose and its salts,,5.00,5.00,2,,,,Nepal
391239 -- Other,,5.00,5.00,2,,,,Nepal
391290 - Other,,5.00,5.00,2,,,,Nepal
"391310 - Alginic acid, its salts and esters",,5.00,5.00,2,,,,Nepal
391390 - Other,,5.00,5.00,2,,,,Nepal
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,5.00,5.00,2,,,,Nepal
391510 - Of polymers of ethylene,,7.50,7.50,2,,,,Nepal
391520 - Of polymers of styrene,,7.50,7.50,2,,,,Nepal
391530 - Of polymers of vinyl chloride,,7.50,7.50,2,,,,Nepal
391590 - Of other plastics,,7.50,7.50,2,,,,Nepal
391610 - Of polymers of ethylene,,10.00,10.00,1,,,,Nepal
391620 - Of polymers of vinyl chloride,,10.00,10.00,1,,,,Nepal
391690 - Of other plastics,,10.00,10.00,1,,,,Nepal
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,1,,,,Nepal
391721 -- Of polymers of ethylene,,8.33,8.33,3,,,,Nepal
391722 -- Of polymers of propylene,,8.33,8.33,3,,,,Nepal
391723 -- Of polymers of vinyl chloride,,8.33,8.33,3,,,,Nepal
391729 -- Of other plastics,,8.33,8.33,3,,,,Nepal
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,8.33,8.33,3,,,,Nepal
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings",,8.33,8.33,3,,,,Nepal
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,8.33,8.33,3,,,,Nepal
391739 -- Other,,8.33,8.33,3,,,,Nepal
391740 - Fittings,,8.33,8.33,3,,,,Nepal
391810 - Of polymers of vinyl chloride,,10.00,10.00,1,,,,Nepal
391890 - Of other plastics,,10.00,10.00,1,,,,Nepal
391910 - In rolls of a width not exceeding 20 cm,,7.50,7.50,2,,,,Nepal
391990 - Other,,7.50,7.50,2,,,,Nepal
392010 - Of polymers of ethylene,,7.50,7.50,2,,,,Nepal
392020 - Of polymers of propylene,,7.50,7.50,2,,,,Nepal
392030 - Of polymers of styrene,,7.50,7.50,2,,,,Nepal
392043 -- Containing by weight not less than 6% of plasticizers,,7.50,7.50,2,,,,Nepal
392049 -- Other,,7.50,7.50,2,,,,Nepal
392051 -- Of poly(methyl methacrylate),,7.50,7.50,2,,,,Nepal
392059 -- Other,,7.50,7.50,2,,,,Nepal
392061 -- Of polycarbonates,,7.50,7.50,2,,,,Nepal
392062 -- Of poly(ethylene terephthalate),,7.50,7.50,2,,,,Nepal
392063 -- Of unsaturated polyesters,,7.50,7.50,2,,,,Nepal
392069 -- Of other polyesters,,7.50,7.50,2,,,,Nepal
392071 -- Of regenerated cellulose,,7.50,7.50,2,,,,Nepal
392072 -- Of vulcanised fibre,,7.50,7.50,2,,,,Nepal
392073 -- Of cellulose acetate,,7.50,7.50,2,,,,Nepal
392079 -- Of other cellulose derivatives,,7.50,7.50,2,,,,Nepal
392091 -- Of poly(vinyl butyral),,7.50,7.50,2,,,,Nepal
392092 -- Of polyamides,,7.50,7.50,2,,,,Nepal
392093 -- Of amino-resins,,7.50,7.50,2,,,,Nepal
392094 -- Of phenolic resins,,7.50,7.50,2,,,,Nepal
392099 -- Of other plastics,,7.50,7.50,2,,,,Nepal
392111 -- Of polymers of styrene,,5.00,5.00,1,,,,Nepal
392112 -- Of polymers of vinyl chloride,,5.00,5.00,1,,,,Nepal
392113 -- Of polyurethanes,,5.00,5.00,1,,,,Nepal
392114 -- Of regenerated cellulose,,5.00,5.00,1,,,,Nepal
392119 -- Of other plastics,,5.00,5.00,1,,,,Nepal
392190 - Other,,5.00,5.00,1,,,,Nepal
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Nepal
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Nepal
392290 - Other,,10.00,10.00,1,,,,Nepal
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,1,,,,Nepal
392321 -- Of polymers of ethylene,,8.33,8.33,3,,,,Nepal
392329 -- Of other plastics,,8.33,8.33,3,,,,Nepal
"392330 - Carboys, bottles, flasks and similar articles",,6.67,6.67,3,,,,Nepal
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Nepal
"392350 - Stoppers, lids, caps and other closures",,6.67,6.67,3,,,,Nepal
392390 - Other,,10.00,10.00,1,,,,Nepal
392410 - Tableware and kitchenware,,10.00,10.00,1,,,,Nepal
392490 - Other,,10.00,10.00,1,,,,Nepal
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 litres",,10.00,10.00,1,,,,Nepal
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Nepal
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,10.00,1,,,,Nepal
392590 - Other,,10.00,10.00,1,,,,Nepal
392610 - Office or school supplies,,10.00,10.00,2,,,,Nepal
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,1,,,,Nepal
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,1,,,,Nepal
392640 - Statuettes and other ornamental articles,,10.00,10.00,1,,,,Nepal
392690 - Other,,7.50,7.50,4,,,,Nepal
