Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
391890 - Of other plastics,,6.50,0.00,1,,1,,Cambodia
391910 - In rolls of a width not exceeding 20 cm,,6.35,0.00,4,,4,,Cambodia
391990 - Other,"1,766",6.50,0.00,1,,1,,Cambodia
392010 - Of polymers of ethylene,,4.64,0.00,7,,5,,Cambodia
392020 - Of polymers of propylene,,6.50,0.00,3,,3,,Cambodia
392030 - Of polymers of styrene,,6.50,0.00,1,,1,,Cambodia
392043 -- Containing by weight not less than 6 % of plasticisers,,6.50,0.00,2,,2,,Cambodia
392049 -- Other,,6.50,0.00,2,,2,,Cambodia
392051 -- Of poly(methyl methacrylate),,6.50,0.00,1,,1,,Cambodia
392059 -- Other,,3.25,0.00,2,,1,,Cambodia
392061 -- Of polycarbonates,,6.50,0.00,1,,1,,Cambodia
392062 -- Of poly(ethylene terephthalate),,4.33,0.00,3,,2,,Cambodia
392063 -- Of unsaturated polyesters,,6.50,0.00,1,,1,,Cambodia
392069 -- Of other polyesters,,6.50,0.00,1,,1,,Cambodia
392071 -- Of regenerated cellulose,,6.50,0.00,1,,1,,Cambodia
392073 -- Of cellulose acetate,,6.40,0.00,2,,2,,Cambodia
392079 -- Of other cellulose derivatives,,6.10,0.00,2,,2,,Cambodia
392091 -- Of poly(vinyl butyral),,6.10,0.00,1,,1,,Cambodia
392092 -- Of polyamides,,6.50,0.00,1,,1,,Cambodia
392093 -- Of amino-resins,,6.50,0.00,1,,1,,Cambodia
392094 -- Of phenolic resins,,6.50,0.00,1,,1,,Cambodia
392099 -- Of other plastics,,3.25,0.00,6,,3,,Cambodia
392111 -- Of polymers of styrene,,6.50,0.00,1,,1,,Cambodia
392112 -- Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Cambodia
392113 -- Of polyurethanes,571,6.50,0.00,2,,2,,Cambodia
392114 -- Of regenerated cellulose,,6.50,0.00,1,,1,,Cambodia
392119 -- Of other plastics,,6.50,0.00,1,,1,,Cambodia
392190 - Other,"11,580",6.50,0.00,8,,8,,Cambodia
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,0.00,1,,1,,Cambodia
392220 - Lavatory seats and covers,,6.50,0.00,1,,1,,Cambodia
392290 - Other,,6.50,0.00,1,,1,,Cambodia
"392310 - Boxes, cases, crates and similar articles","1,514",6.50,0.00,1,,1,,Cambodia
392321 -- Of polymers of ethylene,"95,179",6.50,0.00,1,,1,,Cambodia
392329 -- Of other plastics,"11,129",6.50,0.00,2,,2,,Cambodia
"392330 - Carboys, bottles, flasks and similar articles",,6.50,0.00,2,,2,,Cambodia
"392340 - Spools, cops, bobbins and similar supports",,5.90,0.00,2,,2,,Cambodia
"392350 - Stoppers, lids, caps and other closures","13,918",6.50,0.00,2,,2,,Cambodia
392390 - Other,"1,137,556",6.50,0.00,1,,1,,Cambodia
392410 - Tableware and kitchenware,"97,888",6.50,0.00,1,,1,,Cambodia
392490 - Other,,6.50,0.00,1,,1,,Cambodia
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,Cambodia
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,0.00,1,,1,,Cambodia
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,0.00,1,,1,,Cambodia
392590 - Other,,6.50,0.00,3,,3,,Cambodia
392610 - Office or school supplies,,6.50,0.00,1,,1,,Cambodia
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)","22,098",6.50,0.00,1,,1,,Cambodia
"392630 - Fittings for furniture, coachwork or the like",,6.50,0.00,1,,1,,Cambodia
392640 - Statuettes and other ornamental articles,"5,551",6.50,0.00,1,,1,,Cambodia
392690 - Other,"92,197",6.50,0.00,3,,3,,Cambodia
,2012,"323,581",5.53,0.00,205,,176,,Cambodia
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,0.00,2,,2,,Cambodia
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,0.00,2,,1,,Cambodia
390130 - Ethylene-vinyl acetate copolymers,,6.50,0.00,1,,1,,Cambodia
390190 - Other,,3.25,0.00,2,,1,,Cambodia
390210 - Polypropylene,,6.50,0.00,1,,1,,Cambodia
390220 - Polyisobutylene,,6.50,0.00,1,,1,,Cambodia
390230 - Propylene copolymers,,6.50,0.00,1,,1,,Cambodia
390290 - Other,,2.17,0.00,3,,1,,Cambodia
390311 -- Expansible,,6.50,0.00,1,,1,,Cambodia
390319 -- Other,,6.50,0.00,1,,1,,Cambodia
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,0.00,1,,1,,Cambodia
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,0.00,1,,1,,Cambodia
390390 - Other,,2.17,0.00,3,,1,,Cambodia
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,0.00,1,,1,,Cambodia
390421 -- Non-plasticised,,6.50,0.00,1,,1,,Cambodia
390422 -- Plasticised,,6.50,0.00,1,,1,,Cambodia
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,0.00,1,,1,,Cambodia
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,Cambodia
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,Cambodia
390461 -- Polytetrafluoroethylene,,6.50,0.00,1,,1,,Cambodia
390469 -- Other,,4.33,0.00,3,,2,,Cambodia
390490 - Other,,6.50,0.00,1,,1,,Cambodia
390512 -- In aqueous dispersion,,6.50,0.00,1,,1,,Cambodia
390519 -- Other,,6.50,0.00,1,,1,,Cambodia
390521 -- In aqueous dispersion,,6.50,0.00,1,,1,,Cambodia
390529 -- Other,,6.50,0.00,1,,1,,Cambodia
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,Cambodia
390591 -- Copolymers,,6.50,0.00,1,,1,,Cambodia
390599 -- Other,,3.25,0.00,2,,1,,Cambodia
390610 - Poly(methyl methacrylate),,6.50,0.00,1,,1,,Cambodia
390690 - Other,,0.93,0.00,7,,1,,Cambodia
390710 - Polyacetals,,6.50,0.00,1,,1,,Cambodia
390720 - Other polyethers,,4.88,0.00,4,,3,,Cambodia
390730 - Epoxide resins,,6.50,0.00,1,,1,,Cambodia
390740 - Polycarbonates,,6.50,0.00,1,,1,,Cambodia
390750 - Alkyd resins,,6.50,0.00,1,,1,,Cambodia
390760 - Poly(ethylene terephthalate),,6.50,0.00,2,,2,,Cambodia
390770 - Poly(lactic acid),,0.00,0.00,1,,,,Cambodia
390791 -- Unsaturated,,6.50,0.00,2,,2,,Cambodia
390799 -- Other,,3.25,0.00,2,,1,,Cambodia
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,0.00,1,,1,,Cambodia
390890 - Other,,6.50,0.00,1,,1,,Cambodia
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,Cambodia
390920 - Melamine resins,,6.50,0.00,1,,1,,Cambodia
390930 - Other amino-resins,,6.50,0.00,1,,1,,Cambodia
390940 - Phenolic resins,,6.50,0.00,1,,1,,Cambodia
390950 - Polyurethanes,,3.25,0.00,2,,1,,Cambodia
391000 Silicones in primary forms.,,6.50,0.00,1,,1,,Cambodia
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,0.00,1,,1,,Cambodia
391190 - Other,,3.30,0.00,5,,3,,Cambodia
391211 -- Non-plasticised,,6.50,0.00,1,,1,,Cambodia
391212 -- Plasticised,,6.50,0.00,1,,1,,Cambodia
391220 - Cellulose nitrates (including collodions),,6.33,0.00,3,,3,,Cambodia
391231 -- Carboxymethylcellulose and its salts,,6.50,0.00,1,,1,,Cambodia
391239 -- Other,,3.25,0.00,2,,1,,Cambodia
391290 - Other,,6.45,0.00,2,,2,,Cambodia
"391310 - Alginic acid, its salts and esters",,5.00,0.00,1,,1,,Cambodia
391390 - Other,,6.50,0.00,1,,1,,Cambodia
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,0.00,1,,1,,Cambodia
391510 - Of polymers of ethylene,,6.50,0.00,1,,1,,Cambodia
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,Cambodia
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Cambodia
391590 - Of other plastics,,6.50,0.00,2,,2,,Cambodia
391610 - Of polymers of ethylene,,6.50,0.00,1,,1,,Cambodia
391620 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Cambodia
391690 - Of other plastics,,6.50,0.00,3,,3,,Cambodia
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,0.00,2,,2,,Cambodia
391721 -- Of polymers of ethylene,,6.50,0.00,2,,2,,Cambodia
391722 -- Of polymers of propylene,,6.50,0.00,2,,2,,Cambodia
391723 -- Of polymers of vinyl chloride,,6.50,0.00,2,,2,,Cambodia
391729 -- Of other plastics,,6.50,0.00,1,,1,,Cambodia
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,0.00,1,,1,,Cambodia
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,0.00,1,,1,,Cambodia
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,0.00,1,,1,,Cambodia
391739 -- Other,,6.50,0.00,1,,1,,Cambodia
391740 - Fittings,,6.50,0.00,1,,1,,Cambodia
391810 - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,Cambodia
391890 - Of other plastics,,6.50,0.00,1,,1,,Cambodia
391910 - In rolls of a width not exceeding 20 cm,,6.35,0.00,4,,4,,Cambodia
391990 - Other,,6.50,0.00,1,,1,,Cambodia
392010 - Of polymers of ethylene,,4.64,0.00,7,,5,,Cambodia
392020 - Of polymers of propylene,,6.50,0.00,3,,3,,Cambodia
392030 - Of polymers of styrene,,6.50,0.00,1,,1,,Cambodia
392043 -- Containing by weight not less than 6 % of plasticisers,,6.50,0.00,2,,2,,Cambodia
392049 -- Other,,6.50,0.00,2,,2,,Cambodia
392051 -- Of poly(methyl methacrylate),,6.50,0.00,1,,1,,Cambodia
392059 -- Other,,3.25,0.00,2,,1,,Cambodia
392061 -- Of polycarbonates,,6.50,0.00,1,,1,,Cambodia
392062 -- Of poly(ethylene terephthalate),,4.33,0.00,3,,2,,Cambodia
392063 -- Of unsaturated polyesters,,6.50,0.00,1,,1,,Cambodia
392069 -- Of other polyesters,,6.50,0.00,1,,1,,Cambodia
392071 -- Of regenerated cellulose,,6.50,0.00,1,,1,,Cambodia
392073 -- Of cellulose acetate,,6.40,0.00,2,,2,,Cambodia
392079 -- Of other cellulose derivatives,,6.10,0.00,2,,2,,Cambodia
392091 -- Of poly(vinyl butyral),,6.10,0.00,1,,1,,Cambodia
392092 -- Of polyamides,,6.50,0.00,1,,1,,Cambodia
392093 -- Of amino-resins,,6.50,0.00,1,,1,,Cambodia
392094 -- Of phenolic resins,,6.50,0.00,1,,1,,Cambodia
392099 -- Of other plastics,,3.25,0.00,6,,3,,Cambodia
392111 -- Of polymers of styrene,,6.50,0.00,1,,1,,Cambodia
392112 -- Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Cambodia
392113 -- Of polyurethanes,,6.50,0.00,2,,2,,Cambodia
392114 -- Of regenerated cellulose,,6.50,0.00,1,,1,,Cambodia
392119 -- Of other plastics,,6.50,0.00,1,,1,,Cambodia
392190 - Other,,6.50,0.00,8,,8,,Cambodia
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,0.00,1,,1,,Cambodia
392220 - Lavatory seats and covers,,6.50,0.00,1,,1,,Cambodia
392290 - Other,,6.50,0.00,1,,1,,Cambodia
"392310 - Boxes, cases, crates and similar articles",964,6.50,0.00,1,,1,,Cambodia
392321 -- Of polymers of ethylene,"41,710",6.50,0.00,1,,1,,Cambodia
392329 -- Of other plastics,"6,781",6.50,0.00,2,,2,,Cambodia
"392330 - Carboys, bottles, flasks and similar articles",,6.50,0.00,2,,2,,Cambodia
"392340 - Spools, cops, bobbins and similar supports",,5.90,0.00,2,,2,,Cambodia
"392350 - Stoppers, lids, caps and other closures","4,769",6.50,0.00,2,,2,,Cambodia
392390 - Other,"2,776",6.50,0.00,1,,1,,Cambodia
392410 - Tableware and kitchenware,,6.50,0.00,1,,1,,Cambodia
392490 - Other,,6.50,0.00,1,,1,,Cambodia
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,Cambodia
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,0.00,1,,1,,Cambodia
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,0.00,1,,1,,Cambodia
392590 - Other,,6.50,0.00,3,,3,,Cambodia
392610 - Office or school supplies,"86,465",6.50,0.00,1,,1,,Cambodia
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)","3,817",6.50,0.00,1,,1,,Cambodia
"392630 - Fittings for furniture, coachwork or the like","20,591",6.50,0.00,1,,1,,Cambodia
392640 - Statuettes and other ornamental articles,"2,712",6.50,0.00,1,,1,,Cambodia
392690 - Other,"152,995",6.50,0.00,3,,3,,Cambodia
,2011,"308,509",5.59,0.00,205,,178,,Cambodia
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,0.00,2,,2,,Cambodia
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,0.00,2,,1,,Cambodia
390130 - Ethylene-vinyl acetate copolymers,,6.50,0.00,1,,1,,Cambodia
390190 - Other,,3.25,0.00,2,,1,,Cambodia
390210 - Polypropylene,,6.50,0.00,1,,1,,Cambodia
390220 - Polyisobutylene,,6.50,0.00,1,,1,,Cambodia
390230 - Propylene copolymers,,6.50,0.00,1,,1,,Cambodia
390290 - Other,,2.17,0.00,3,,1,,Cambodia
390311 -- Expansible,,6.50,0.00,1,,1,,Cambodia
390319 -- Other,,6.50,0.00,1,,1,,Cambodia
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,0.00,1,,1,,Cambodia
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,0.00,1,,1,,Cambodia
390390 - Other,,2.17,0.00,3,,1,,Cambodia
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,0.00,1,,1,,Cambodia
390421 -- Non-plasticised,,6.50,0.00,1,,1,,Cambodia
390422 -- Plasticised,,6.50,0.00,1,,1,,Cambodia
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,0.00,1,,1,,Cambodia
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,Cambodia
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,Cambodia
390461 -- Polytetrafluoroethylene,,6.50,0.00,1,,1,,Cambodia
390469 -- Other,,4.33,0.00,3,,2,,Cambodia
390490 - Other,,6.50,0.00,1,,1,,Cambodia
390512 -- In aqueous dispersion,,6.50,0.00,1,,1,,Cambodia
390519 -- Other,,6.50,0.00,1,,1,,Cambodia
390521 -- In aqueous dispersion,,6.50,0.00,1,,1,,Cambodia
390529 -- Other,,6.50,0.00,1,,1,,Cambodia
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,Cambodia
390591 -- Copolymers,,6.50,0.00,1,,1,,Cambodia
390599 -- Other,,3.25,0.00,2,,1,,Cambodia
390610 - Poly(methyl methacrylate),,6.50,0.00,1,,1,,Cambodia
390690 - Other,,1.64,0.00,7,,2,,Cambodia
390710 - Polyacetals,,6.50,0.00,1,,1,,Cambodia
390720 - Other polyethers,,4.88,0.00,4,,3,,Cambodia
390730 - Epoxide resins,,6.50,0.00,1,,1,,Cambodia
390740 - Polycarbonates,,6.50,0.00,1,,1,,Cambodia
390750 - Alkyd resins,,6.50,0.00,1,,1,,Cambodia
390760 - Poly(ethylene terephthalate),,6.50,0.00,2,,2,,Cambodia
390770 - Poly(lactic acid),,6.50,0.00,1,,1,,Cambodia
390791 -- Unsaturated,,6.50,0.00,2,,2,,Cambodia
390799 -- Other,,3.25,0.00,2,,1,,Cambodia
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,0.00,1,,1,,Cambodia
390890 - Other,"1,879",6.50,0.00,1,,1,,Cambodia
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,Cambodia
390920 - Melamine resins,,6.50,0.00,1,,1,,Cambodia
390930 - Other amino-resins,,6.50,0.00,1,,1,,Cambodia
390940 - Phenolic resins,,6.50,0.00,1,,1,,Cambodia
390950 - Polyurethanes,,3.25,0.00,2,,1,,Cambodia
391000 Silicones in primary forms.,,6.50,0.00,1,,1,,Cambodia
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,0.00,1,,1,,Cambodia
391190 - Other,,3.30,0.00,5,,3,,Cambodia
391211 -- Non-plasticised,,6.50,0.00,1,,1,,Cambodia
391212 -- Plasticised,,6.50,0.00,1,,1,,Cambodia
391220 - Cellulose nitrates (including collodions),,6.33,0.00,3,,3,,Cambodia
391231 -- Carboxymethylcellulose and its salts,,6.50,0.00,1,,1,,Cambodia
391239 -- Other,,3.25,0.00,2,,1,,Cambodia
391290 - Other,,6.45,0.00,2,,2,,Cambodia
"391310 - Alginic acid, its salts and esters",,5.00,0.00,1,,1,,Cambodia
391390 - Other,,6.50,0.00,1,,1,,Cambodia
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,0.00,1,,1,,Cambodia
391510 - Of polymers of ethylene,,6.50,0.00,1,,1,,Cambodia
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,Cambodia
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Cambodia
391590 - Of other plastics,,6.50,0.00,2,,2,,Cambodia
391610 - Of polymers of ethylene,,6.50,0.00,1,,1,,Cambodia
391620 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Cambodia
391690 - Of other plastics,,6.50,0.00,3,,3,,Cambodia
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,0.00,2,,2,,Cambodia
391721 -- Of polymers of ethylene,,6.50,0.00,2,,2,,Cambodia
391722 -- Of polymers of propylene,,6.50,0.00,2,,2,,Cambodia
391723 -- Of polymers of vinyl chloride,,6.50,0.00,2,,2,,Cambodia
391729 -- Of other plastics,,6.50,0.00,1,,1,,Cambodia
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,0.00,1,,1,,Cambodia
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,0.00,1,,1,,Cambodia
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,0.00,1,,1,,Cambodia
391739 -- Other,,6.50,0.00,1,,1,,Cambodia
391740 - Fittings,,6.50,0.00,1,,1,,Cambodia
391810 - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,Cambodia
391890 - Of other plastics,,6.50,0.00,1,,1,,Cambodia
391910 - In rolls of a width not exceeding 20 cm,,6.35,0.00,4,,4,,Cambodia
391990 - Other,,6.50,0.00,1,,1,,Cambodia
392010 - Of polymers of ethylene,,4.64,0.00,7,,5,,Cambodia
392020 - Of polymers of propylene,,6.50,0.00,3,,3,,Cambodia
392030 - Of polymers of styrene,,6.50,0.00,1,,1,,Cambodia
392043 -- Containing by weight not less than 6 % of plasticisers,,6.50,0.00,2,,2,,Cambodia
392049 -- Other,,6.50,0.00,2,,2,,Cambodia
392051 -- Of poly(methyl methacrylate),,6.50,0.00,1,,1,,Cambodia
392059 -- Other,,3.25,0.00,2,,1,,Cambodia
392061 -- Of polycarbonates,,6.50,0.00,1,,1,,Cambodia
392062 -- Of poly(ethylene terephthalate),,4.33,0.00,3,,2,,Cambodia
392063 -- Of unsaturated polyesters,,6.50,0.00,1,,1,,Cambodia
392069 -- Of other polyesters,,6.50,0.00,1,,1,,Cambodia
392071 -- Of regenerated cellulose,,6.50,0.00,1,,1,,Cambodia
392073 -- Of cellulose acetate,,6.40,0.00,2,,2,,Cambodia
392079 -- Of other cellulose derivatives,,6.10,0.00,2,,2,,Cambodia
392091 -- Of poly(vinyl butyral),,6.10,0.00,1,,1,,Cambodia
392092 -- Of polyamides,,6.50,0.00,1,,1,,Cambodia
392093 -- Of amino-resins,,6.50,0.00,1,,1,,Cambodia
392094 -- Of phenolic resins,,6.50,0.00,1,,1,,Cambodia
392099 -- Of other plastics,,3.25,0.00,6,,3,,Cambodia
392111 -- Of polymers of styrene,,6.50,0.00,1,,1,,Cambodia
392112 -- Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Cambodia
392113 -- Of polyurethanes,,6.50,0.00,2,,2,,Cambodia
392114 -- Of regenerated cellulose,,6.50,0.00,1,,1,,Cambodia
392119 -- Of other plastics,,6.50,0.00,1,,1,,Cambodia
392190 - Other,,6.50,0.00,8,,8,,Cambodia
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,0.00,1,,1,,Cambodia
392220 - Lavatory seats and covers,,6.50,0.00,1,,1,,Cambodia
392290 - Other,,6.50,0.00,1,,1,,Cambodia
"392310 - Boxes, cases, crates and similar articles",139,6.50,0.00,1,,1,,Cambodia
392321 -- Of polymers of ethylene,"139,701",6.50,0.00,1,,1,,Cambodia
392329 -- Of other plastics,"99,723",6.50,0.00,2,,2,,Cambodia
"392330 - Carboys, bottles, flasks and similar articles",,6.50,0.00,2,,2,,Cambodia
"392340 - Spools, cops, bobbins and similar supports",,5.90,0.00,2,,2,,Cambodia
"392350 - Stoppers, lids, caps and other closures","13,377",6.50,0.00,2,,2,,Cambodia
392390 - Other,14,6.50,0.00,1,,1,,Cambodia
392410 - Tableware and kitchenware,223,6.50,0.00,1,,1,,Cambodia
392490 - Other,,6.50,0.00,1,,1,,Cambodia
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,Cambodia
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,0.00,1,,1,,Cambodia
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,0.00,1,,1,,Cambodia
392590 - Other,,6.50,0.00,3,,3,,Cambodia
392610 - Office or school supplies,,6.50,0.00,1,,1,,Cambodia
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)","27,562",6.50,0.00,1,,1,,Cambodia
"392630 - Fittings for furniture, coachwork or the like","2,213",6.50,0.00,1,,1,,Cambodia
392640 - Statuettes and other ornamental articles,"11,818",6.50,0.00,1,,1,,Cambodia
392690 - Other,"11,860",6.50,0.00,3,,3,,Cambodia
,2010,"432,231",5.59,5.59,204,,,,Cambodia
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,6.50,2,,,,Cambodia
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,3.25,2,,,,Cambodia
390130 - Ethylene-vinyl acetate copolymers,,6.50,6.50,1,,,,Cambodia
390190 - Other,,3.25,3.25,2,,,,Cambodia
390210 - Polypropylene,,6.50,6.50,1,,,,Cambodia
390220 - Polyisobutylene,,6.50,6.50,1,,,,Cambodia
390230 - Propylene copolymers,,6.50,6.50,1,,,,Cambodia
390290 - Other,,2.17,2.17,3,,,,Cambodia
390311 -- Expansible,,6.50,6.50,1,,,,Cambodia
390319 -- Other,,6.50,6.50,1,,,,Cambodia
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,6.50,1,,,,Cambodia
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,6.50,1,,,,Cambodia
390390 - Other,,2.17,2.17,3,,,,Cambodia
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,6.50,1,,,,Cambodia
390421 -- Non-plasticised,,6.50,6.50,1,,,,Cambodia
390422 -- Plasticised,,6.50,6.50,1,,,,Cambodia
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,6.50,1,,,,Cambodia
390440 - Other vinyl chloride copolymers,,6.50,6.50,1,,,,Cambodia
390450 - Vinylidene chloride polymers,,3.25,3.25,2,,,,Cambodia
390461 -- Polytetrafluoroethylene,,6.50,6.50,1,,,,Cambodia
390469 -- Other,,3.25,3.25,2,,,,Cambodia
390490 - Other,,6.50,6.50,1,,,,Cambodia
390512 -- In aqueous dispersion,,6.50,6.50,1,,,,Cambodia
390519 -- Other,,6.50,6.50,1,,,,Cambodia
390521 -- In aqueous dispersion,,6.50,6.50,1,,,,Cambodia
390529 -- Other,,6.50,6.50,1,,,,Cambodia
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,6.50,1,,,,Cambodia
390591 -- Copolymers,,6.50,6.50,1,,,,Cambodia
390599 -- Other,,3.25,3.25,2,,,,Cambodia
390610 - Poly(methyl methacrylate),,6.50,6.50,1,,,,Cambodia
390690 - Other,,1.64,1.64,7,,,,Cambodia
390710 - Polyacetals,,6.50,6.50,1,,,,Cambodia
390720 - Other polyethers,,4.88,4.88,4,,,,Cambodia
390730 - Epoxide resins,,6.50,6.50,1,,,,Cambodia
390740 - Polycarbonates,,6.50,6.50,1,,,,Cambodia
390750 - Alkyd resins,,6.50,6.50,1,,,,Cambodia
390760 - Poly(ethylene terephthalate),,6.50,6.50,2,,,,Cambodia
390770 - Poly(lactic acid),,6.50,6.50,1,,,,Cambodia
390791 -- Unsaturated,,6.50,6.50,2,,,,Cambodia
390799 -- Other,,3.25,3.25,2,,,,Cambodia
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,6.50,1,,,,Cambodia
390890 - Other,,6.50,6.50,1,,,,Cambodia
390910 - Urea resins; thiourea resins,,6.50,6.50,1,,,,Cambodia
390920 - Melamine resins,,6.50,6.50,1,,,,Cambodia
390930 - Other amino-resins,,6.50,6.50,1,,,,Cambodia
390940 - Phenolic resins,,6.50,6.50,1,,,,Cambodia
390950 - Polyurethanes,,3.25,3.25,2,,,,Cambodia
391000 Silicones in primary forms.,,6.50,6.50,1,,,,Cambodia
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,6.50,1,,,,Cambodia
391190 - Other,,3.30,3.30,5,,,,Cambodia
391211 -- Non-plasticised,,6.50,6.50,1,,,,Cambodia
391212 -- Plasticised,,6.50,6.50,1,,,,Cambodia
391220 - Cellulose nitrates (including collodions),,6.33,6.33,3,,,,Cambodia
391231 -- Carboxymethylcellulose and its salts,,6.50,6.50,1,,,,Cambodia
391239 -- Other,,3.25,3.25,2,,,,Cambodia
391290 - Other,,6.45,6.45,2,,,,Cambodia
"391310 - Alginic acid, its salts and esters",,5.00,5.00,1,,,,Cambodia
391390 - Other,,6.50,6.50,1,,,,Cambodia
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,6.50,1,,,,Cambodia
391510 - Of polymers of ethylene,,6.50,6.50,1,,,,Cambodia
391520 - Of polymers of styrene,,6.50,6.50,1,,,,Cambodia
391530 - Of polymers of vinyl chloride,,6.50,6.50,1,,,,Cambodia
391590 - Of other plastics,,6.50,6.50,2,,,,Cambodia
391610 - Of polymers of ethylene,,6.50,6.50,1,,,,Cambodia
391620 - Of polymers of vinyl chloride,,6.50,6.50,1,,,,Cambodia
391690 - Of other plastics,,6.50,6.50,3,,,,Cambodia
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,5.90,2,,,,Cambodia
391721 -- Of polymers of ethylene,,6.50,6.50,2,,,,Cambodia
391722 -- Of polymers of propylene,,6.50,6.50,2,,,,Cambodia
391723 -- Of polymers of vinyl chloride,,6.50,6.50,2,,,,Cambodia
391729 -- Of other plastics,,6.50,6.50,1,,,,Cambodia
