Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,25.00,25.00,1,,,,United States of America
,2015,,20.43,20.43,69,,,,United States of America
080111 -- Desiccated,,10.00,10.00,1,,,,United States of America
080112 -- In the inner shell (endocarp),,10.00,10.00,1,,,,United States of America
080119 -- Other,,10.00,10.00,1,,,,United States of America
080121 -- In shell,,10.00,10.00,1,,,,United States of America
080122 -- Shelled,,10.00,10.00,1,,,,United States of America
080131 -- In shell,,10.00,10.00,1,,,,United States of America
080132 -- Shelled,,10.00,10.00,1,,,,United States of America
080211 -- In shell,,25.00,25.00,1,,,,United States of America
080212 -- Shelled,,25.00,25.00,1,,,,United States of America
080221 -- In shell,,10.00,10.00,1,,,,United States of America
080222 -- Shelled,,10.00,10.00,1,,,,United States of America
080231 -- In shell,,25.00,25.00,1,,,,United States of America
080232 -- Shelled,,25.00,25.00,1,,,,United States of America
080241 -- In shell,,10.00,10.00,1,,,,United States of America
080242 -- Shelled,,10.00,10.00,1,,,,United States of America
080251 -- In shell,,10.00,10.00,1,,,,United States of America
080252 -- Shelled,,10.00,10.00,1,,,,United States of America
080261 -- In shell,,10.00,10.00,1,,,,United States of America
080262 -- Shelled,,10.00,10.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,United States of America
080280 - Areca nuts,,10.00,10.00,1,,,,United States of America
080290 - Other,,10.00,10.00,1,,,,United States of America
080310 - Plantains,,25.00,25.00,1,,,,United States of America
080390 - Other,,25.00,25.00,1,,,,United States of America
080410 - Dates,,25.00,25.00,1,,,,United States of America
080420 - Figs,,25.00,25.00,1,,,,United States of America
080430 - Pineapples,,10.00,10.00,1,,,,United States of America
080440 - Avocados,,25.00,25.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens",,25.00,25.00,1,,,,United States of America
080510 - Oranges,,25.00,25.00,1,,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,25.00,25.00,1,,,,United States of America
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,25.00,25.00,1,,,,United States of America
080590 - Other,,25.00,25.00,1,,,,United States of America
080610 - Fresh,,25.00,25.00,1,,,,United States of America
080620 - Dried,,25.00,25.00,1,,,,United States of America
080711 -- Watermelons,,25.00,25.00,1,,,,United States of America
080719 -- Other,,25.00,25.00,1,,,,United States of America
080720 - Papaws (papayas),,25.00,25.00,1,,,,United States of America
080810 - Apples,,25.00,25.00,1,,,,United States of America
080830 - Pears,,25.00,25.00,1,,,,United States of America
080840 - Quinces,,25.00,25.00,1,,,,United States of America
080910 - Apricots,,25.00,25.00,1,,,,United States of America
080921 -- Sour cherries (Prunus cerasus),,25.00,25.00,1,,,,United States of America
080929 -- Other,,25.00,25.00,1,,,,United States of America
"080930 - Peaches, including nectarines",,25.00,25.00,1,,,,United States of America
080940 - Plums and sloes,,25.00,25.00,1,,,,United States of America
081010 - Strawberries,,25.00,25.00,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries",,25.00,25.00,1,,,,United States of America
"081030 - Black, white or red currants and gooseberries",,25.00,25.00,1,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,25.00,25.00,1,,,,United States of America
081050 - Kiwifruit,,25.00,25.00,1,,,,United States of America
081060 - Durians,,25.00,25.00,1,,,,United States of America
081070 - Persimmons,,25.00,25.00,1,,,,United States of America
081090 - Other,,25.00,25.00,1,,,,United States of America
081110 - Strawberries,,25.00,25.00,1,,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,25.00,25.00,1,,,,United States of America
081190 - Other,,17.50,17.50,2,,,,United States of America
081210 - Cherries,,25.00,25.00,1,,,,United States of America
081290 - Other,,25.00,25.00,2,,,,United States of America
081310 - Apricots,,25.00,25.00,1,,,,United States of America
081320 - Prunes,,25.00,25.00,1,,,,United States of America
081330 - Apples,,25.00,25.00,1,,,,United States of America
081340 - Other fruit,,25.00,25.00,1,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,,17.50,17.50,2,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,25.00,25.00,1,,,,United States of America
,2009,,21.38,21.38,58,,,,United States of America
080111 -- Dessicated,,10.00,10.00,1,,,,United States of America
080119 -- Other,,10.00,10.00,1,,,,United States of America
080121 -- In shell,,10.00,10.00,1,,,,United States of America
080122 -- Shelled,,10.00,10.00,1,,,,United States of America
080131 -- In shell,,10.00,10.00,1,,,,United States of America
080132 -- Shelled,,10.00,10.00,1,,,,United States of America
080211 -- In shell,,25.00,25.00,1,,,,United States of America
080212 -- Shelled,,25.00,25.00,1,,,,United States of America
080221 -- In shell,,10.00,10.00,1,,,,United States of America
080222 -- Shelled,,10.00,10.00,1,,,,United States of America
080231 -- In shell,,25.00,25.00,1,,,,United States of America
080232 -- Shelled,,25.00,25.00,1,,,,United States of America
080240 - Chestnuts (Castanea spp.),,10.00,10.00,1,,,,United States of America
080250 - Pistachios,,10.00,10.00,1,,,,United States of America
080290 - Other,,10.00,10.00,1,,,,United States of America
"080300 Bananas, including plantains, fresh or dried.",,25.00,25.00,1,,,,United States of America
080410 - Dates,,25.00,25.00,1,,,,United States of America
080420 - Figs,,25.00,25.00,1,,,,United States of America
080430 - Pineapples,,10.00,10.00,1,,,,United States of America
080440 - Avocados,,25.00,25.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens",,25.00,25.00,1,,,,United States of America
080510 - Oranges,,25.00,25.00,1,,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,25.00,25.00,1,,,,United States of America
080540 - Grapefruit,,25.00,25.00,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,25.00,25.00,1,,,,United States of America
080590 - Other,,25.00,25.00,1,,,,United States of America
080610 - Fresh,,25.00,25.00,1,,,,United States of America
080620 - Dried,,25.00,25.00,1,,,,United States of America
080711 -- Watermelons,,25.00,25.00,1,,,,United States of America
080719 -- Other,,25.00,25.00,1,,,,United States of America
080720 - Papaws (papayas),,25.00,25.00,1,,,,United States of America
080810 - Apples,,25.00,25.00,1,,,,United States of America
080820 - Pears and quinces,,25.00,25.00,1,,,,United States of America
080910 - Apricots,,25.00,25.00,1,,,,United States of America
080920 - Cherries,,25.00,25.00,1,,,,United States of America
"080930 - Peaches, including nectarines",,25.00,25.00,1,,,,United States of America
080940 - Plums and sloes,,25.00,25.00,1,,,,United States of America
081010 - Strawberries,,25.00,25.00,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries",,25.00,25.00,1,,,,United States of America
"081030 - Black, white or red currants and gooseberries",,25.00,25.00,1,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,25.00,25.00,1,,,,United States of America
081050 - Kiwifruit,,25.00,25.00,1,,,,United States of America
081060 - Durians,,25.00,25.00,1,,,,United States of America
081090 - Other,,25.00,25.00,1,,,,United States of America
081110 - Strawberries,,25.00,25.00,1,,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,25.00,25.00,1,,,,United States of America
081190 - Other,,17.50,17.50,2,,,,United States of America
081210 - Cherries,,25.00,25.00,1,,,,United States of America
081290 - Other,,25.00,25.00,2,,,,United States of America
081310 - Apricots,,25.00,25.00,1,,,,United States of America
081320 - Prunes,,25.00,25.00,1,,,,United States of America
081330 - Apples,,25.00,25.00,1,,,,United States of America
081340 - Other fruit,,25.00,25.00,1,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,,17.50,17.50,2,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,25.00,25.00,1,,,,United States of America
