Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
"851981 - - Using magnetic, optical or semiconductor media",,10.00,10.00,1,,,,European Union
851989 - - Other,,9.00,9.00,5,,,,European Union
852110 - Magnetic tape-type,,10.00,10.00,9,,,,European Union
852190 - Other,,10.00,10.00,3,,,,European Union
852210 - Pick-up cartridges,,10.00,10.00,1,,,,European Union
852290 - Other,,10.00,10.00,1,,,,European Union
852321 - - Cards incorporating a magnetic stripe,,10.00,10.00,1,,,,European Union
852329 - - Other,,10.00,10.00,9,,,,European Union
852341 - - Unrecorded,,10.00,10.00,7,,,,European Union
852349 - - Other,,10.00,10.00,8,,,,European Union
852351 - - Solid-state non-volatile storage devices,,10.00,10.00,1,,,,European Union
852352 - - “Smart cards”,,0.00,0.00,3,,,,European Union
852359 - - Other,,5.00,5.00,2,,,,European Union
852380 - Other,,8.57,8.57,7,,,,European Union
852550 - Transmission apparatus,,7.92,7.92,6,,,,European Union
852560 - Transmission apparatus incorporating reception apparatus,,0.00,0.00,7,,,,European Union
"852580 - Television cameras, digital cameras and video camera recorders",,10.00,10.00,4,,,,European Union
852610 - Radar apparatus,,7.50,7.50,1,,,,European Union
852691 - - Radio navigational aid apparatus,,7.50,7.50,6,,,,European Union
852692 - - Radio remote control apparatus,,7.50,7.50,1,,,,European Union
852712 - - Pocket-size radio cassette-players,,10.00,10.00,1,,,,European Union
852713 - - Other apparatus combined with sound recording or reproducing apparatus,,10.00,10.00,1,,,,European Union
852719 - - Other,,10.00,10.00,1,,,,European Union
852721 - - Combined with sound recording or reproducing apparatus,,10.00,10.00,1,,,,European Union
852729 - - Other,,10.00,10.00,1,,,,European Union
852791 - - Combined with sound recording or reproducing apparatus,,10.00,10.00,1,,,,European Union
852792 - - Not combined with sound recording or reproducing apparatus but combined with a clock,,10.00,10.00,1,,,,European Union
852799 - - Other,,10.00,10.00,4,,,,European Union
852842 - - Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,,10.00,10.00,1,,,,European Union
852849 - - Other,,10.00,10.00,1,,,,European Union
852852 - - Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,,10.00,10.00,1,,,,European Union
852859 - - Other,,10.00,10.00,1,,,,European Union
852862 - - Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,,10.00,10.00,1,,,,European Union
852869 - - Other,,10.00,10.00,1,,,,European Union
852871 - - Not designed to incorporate a video display or screen,,10.00,10.00,1,,,,European Union
"852872 - - Other, colour",,10.00,10.00,9,,,,European Union
"852873 - - Other, monochrome",,10.00,10.00,2,,,,European Union
852910 - Aerials and aerial reflectors of all kinds; parts suitable for use therewith,,8.33,8.33,9,,,,European Union
852990 - Other,,8.33,8.33,3,,,,European Union
853010 - Equipment for railways or tramways,,7.50,7.50,2,,,,European Union
853080 - Other equipment,,7.50,7.50,1,,,,European Union
853090 - Parts,,7.50,7.50,1,,,,European Union
853110 - Burglar or fire alarms and similar apparatus,,10.00,10.00,3,,,,European Union
853120 - Indicator panels incorporating liquid crystal devices (LCD) or light-emitting diodes (LED),,0.00,0.00,1,,,,European Union
853180 - Other apparatus,,10.00,10.00,1,,,,European Union
853190 - Parts,,10.00,10.00,1,,,,European Union
853210 - Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0.5 kvar (power capacitors),,0.00,0.00,1,,,,European Union
853221 - - Tantalum,,0.00,0.00,1,,,,European Union
853222 - - Aluminium electrolytic,,0.00,0.00,1,,,,European Union
"853223 - - Ceramic dielectric, single layer",,0.00,0.00,1,,,,European Union
"853224 - - Ceramic dielectric, multilayer",,0.00,0.00,1,,,,European Union
853225 - - Dielectric of paper or plastics,,0.00,0.00,1,,,,European Union
853229 - - Other,,0.00,0.00,2,,,,European Union
853230 - Variable or adjustable (pre-set) capacitors,,0.00,0.00,1,,,,European Union
853290 - Parts,,0.00,0.00,1,,,,European Union
"853310 - Fixed carbon resistors, composition or film types",,0.00,0.00,1,,,,European Union
853321 - - For a power handling capacity not exceeding 20 W,,0.00,0.00,4,,,,European Union
853329 - - Other,,0.00,0.00,4,,,,European Union
853331 - - For a power handling capacity not exceeding 20 W,,0.00,0.00,3,,,,European Union
853339 - - Other,,0.00,0.00,3,,,,European Union
"853340 - Other variable resistors, including rheostats and potentiometers",,0.00,0.00,4,,,,European Union
853390 - Parts,,0.00,0.00,1,,,,European Union
853400 Printed circuits.,,0.00,0.00,1,,,,European Union
853510 - Fuses,,7.50,7.50,6,,,,European Union
853521 - - For a voltage of less than 72.5 kV,,7.50,7.50,9,,,,European Union
853529 - - Other,,7.50,7.50,9,,,,European Union
853530 - Isolating switches and make-and-break switches,,7.50,7.50,2,,,,European Union
"853540 - Lightning arresters, voltage limiters and surge suppressors",,7.50,7.50,3,,,,European Union
853590 - Other,,7.50,7.50,5,,,,European Union
853610 - Fuses,,7.86,7.86,7,,,,European Union
853620 - Automatic circuit breakers,,7.50,7.50,5,,,,European Union
853630 - Other apparatus for protecting electrical circuits,,7.50,7.50,1,,,,European Union
853641 - - For a voltage not exceeding 60 V,,10.00,10.00,1,,,,European Union
853649 - - Other,,7.50,7.50,1,,,,European Union
853650 - Other switches,,7.50,7.50,3,,,,European Union
853661 - - Lamp-holders,,10.00,10.00,2,,,,European Union
853669 - - Other,,10.00,10.00,2,,,,European Union
"853670 - Connectors for optical fibres, optical fibre bundles or cables",,7.50,7.50,1,,,,European Union
853690 - Other apparatus,,7.50,7.50,4,,,,European Union
"853710 - For a voltage not exceeding 1,000 V",,7.50,7.50,1,,,,European Union
"853720 - For a voltage exceeding 1,000 V",,7.50,7.50,1,,,,European Union
"853810 - Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 85.37, not equipped with their apparatus",,7.50,7.50,2,,,,European Union
853890 - Other,,7.50,7.50,1,,,,European Union
853910 - Sealed beam lamp units,,10.00,10.00,1,,,,European Union
853921 - - Tungsten halogen,,10.00,10.00,3,,,,European Union
"853922 - - Other, of a power not exceeding 200 W and for a voltage exceeding 100 V",,10.00,10.00,1,,,,European Union
853929 - - Other,,10.00,10.00,5,,,,European Union
"853931 - - Fluorescent, hot cathode",,10.00,10.00,2,,,,European Union
853932 - - Mercury or sodium vapour lamps; metal halide lamps,,10.00,10.00,3,,,,European Union
853939 - - Other,,10.00,10.00,2,,,,European Union
853941 - - Arc-lamps,,10.00,10.00,1,,,,European Union
853949 - - Other,,10.00,10.00,1,,,,European Union
853950 - Light-emitting diode (LED) lamps,,10.00,10.00,1,,,,European Union
853990 - Parts,,10.00,10.00,3,,,,European Union
854011 - - Colour,,10.00,10.00,3,,,,European Union
854012 - - Monochrome,,10.00,10.00,1,,,,European Union
854020 - Television camera tubes; image converters and intensifiers; other photo-cathode tubes,,10.00,10.00,1,,,,European Union
"854040 - Data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0.4 mm",,10.00,10.00,2,,,,European Union
854060 - Other cathode-ray tubes,,10.00,10.00,1,,,,European Union
854071 - - Magnetrons,,10.00,10.00,1,,,,European Union
854079 - - Other,,10.00,10.00,1,,,,European Union
854081 - - Receiver or amplifier valves and tubes,,10.00,10.00,1,,,,European Union
854089 - - Other,,10.00,10.00,1,,,,European Union
854091 - - Of cathode-ray tubes,,10.00,10.00,1,,,,European Union
854099 - - Other,,10.00,10.00,1,,,,European Union
"854110 - Diodes, other than photosensitive or light-emitting diodes (LED)",,0.00,0.00,1,,,,European Union
854121 - - With a dissipation rate of less than 1 W,,0.00,0.00,1,,,,European Union
854129 - - Other,,0.00,0.00,1,,,,European Union
"854130 - Thyristors, diacs and triacs, other than photosensitive devices",,0.00,0.00,2,,,,European Union
"854140 - Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light-emitting diodes (LED)",,0.00,0.00,4,,,,European Union
854150 - Other semiconductor devices,,0.00,0.00,1,,,,European Union
854160 - Mounted piezo-electric crystals,,0.00,0.00,1,,,,European Union
854190 - Parts,,0.00,0.00,1,,,,European Union
"854231 - - Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",,0.00,0.00,1,,,,European Union
854232 - - Memories,,0.00,0.00,1,,,,European Union
854233 - - Amplifiers,,0.00,0.00,1,,,,European Union
854239 - - Other,,7.50,7.50,1,,,,European Union
854290 - Parts,,0.00,0.00,1,,,,European Union
854310 - Particle accelerators,,5.63,5.63,4,,,,European Union
854320 - Signal generators,,7.50,7.50,4,,,,European Union
"854330 - Machines and apparatus for electroplating, electrolysis or electrophoresis",,7.50,7.50,1,,,,European Union
854370 - Other machines and apparatus,,7.24,7.24,29,,,,European Union
854390 - Parts,,7.50,7.50,1,,,,European Union
854411 - - Of copper,,7.50,7.50,2,,,,European Union
854419 - - Other,,7.50,7.50,4,,,,European Union
854420 - Co-axial cable and other co-axial electric conductors,,7.50,7.50,2,,,,European Union
"854430 - Ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft or ships",,7.50,7.50,1,,,,European Union
854442 - - Fitted with connectors,,7.50,7.50,7,,,,European Union
854449 - - Other,,7.50,7.50,7,,,,European Union
"854460 - Other electric conductors, for a voltage exceeding 1,000 V",,7.50,7.50,4,,,,European Union
854470 - Optical fibre cables,,0.00,0.00,2,,,,European Union
854511 - - Of a kind used for furnaces,,7.50,7.50,1,,,,European Union
854519 - - Other,,7.50,7.50,1,,,,European Union
854520 - Brushes,,7.50,7.50,1,,,,European Union
854590 - Other,,7.50,7.50,3,,,,European Union
854610 - Of glass,,7.50,7.50,1,,,,European Union
854620 - Of ceramics,,7.50,7.50,14,,,,European Union
854690 - Other,,7.50,7.50,2,,,,European Union
854710 - Insulating fittings of ceramics,,7.50,7.50,5,,,,European Union
854720 - Insulating fittings of plastics,,7.50,7.50,1,,,,European Union
854790 - Other,,7.50,7.50,3,,,,European Union
"854810 - Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators",,6.67,6.67,3,,,,European Union
854890 - Other,,10.00,10.00,1,,,,European Union
,2016,"3,725,729,317",7.22,7.22,602,,,,European Union
850110 -Motors of an output not exceeding 37.5 W,"34,629,023",7.50,7.50,5,,,,European Union
850120 - Universal AC/DC motors of an output exceeding 37.5 W,"6,143,323",7.50,7.50,1,,,,European Union
850131 -- Of an output not exceeding 750 W,"17,710,523",7.50,7.50,5,,,,European Union
850132 -- Of an output exceeding 750 W but not exceeding 75 kW,"1,746,487",7.50,7.50,2,,,,European Union
850133 -- Of an output exceeding 75 kW but not exceeding 375 kW,"1,229,139",7.50,7.50,2,,,,European Union
850134 -- Of an output exceeding 375 kW,"2,264,182",7.50,7.50,5,,,,European Union
"850140 - Other AC motors, single-phase","5,228,588",7.50,7.50,2,,,,European Union
850151 -- Of an output not exceeding 750 W,"9,190,368",7.50,7.50,3,,,,European Union
850152 -- Of an output exceeding 750 W but not exceeding 75 kW,"50,487,314",7.50,7.50,3,,,,European Union
850153 -- Of an output exceeding 75 kW,"19,494,875",7.50,7.50,4,,,,European Union
850161 -- Of an output not exceeding 75 kVA,"827,691",7.50,7.50,1,,,,European Union
850162 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,"410,299",7.50,7.50,1,,,,European Union
850163 -- Of an output exceeding 375 kVA but not exceeding 750 kVA,"100,511",7.50,7.50,1,,,,European Union
850164 -- Of an output exceeding 750 kVA,"15,326,925",8.13,8.13,8,,,,European Union
850211 -- Of an output not exceeding 75 kVA,"1,533,674",10.00,10.00,1,,,,European Union
850212 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,"931,683",7.50,7.50,1,,,,European Union
850213 -- Of an output exceeding 375 kVA,"4,456,800",7.50,7.50,6,,,,European Union
850220 - Generating sets with spark-ignition internal combustion piston engines,"529,695",8.75,8.75,2,,,,European Union
850231 -- Wind-powered,"6,716,079",7.50,7.50,1,,,,European Union
850239 -- Other,"24,071,730",7.50,7.50,3,,,,European Union
850240 - Electric rotary converters,"3,971,000",10.00,10.00,1,,,,European Union
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,"233,185,945",7.50,7.50,4,,,,European Union
850410 - Ballasts for discharge lamps or tubes,"2,686,342",7.50,7.50,3,,,,European Union
850421 -- Having a power handling capacity not exceeding 650 kVA,"337,490",7.50,7.50,1,,,,European Union
"850422 -- Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA","694,225",7.50,7.50,1,,,,European Union
"850423 -- Having a power handling capacity exceeding 10,000 kVA","39,604,499",7.50,7.50,4,,,,European Union
850431 -- Having a power handling capacity not exceeding 1 kVA,"9,288,431",10.00,10.00,1,,,,European Union
850432 -- Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,"1,518,434",10.00,10.00,1,,,,European Union
850433 -- Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,"2,998,953",7.50,7.50,1,,,,European Union
850434 -- Having a power handling capacity exceeding 500 kVA,"3,373,746",7.50,7.50,1,,,,European Union
850440 - Static converters,"231,290,647",8.33,8.33,6,,,,European Union
850450 - Other inductors,"14,805,994",7.50,7.50,2,,,,European Union
850490 - Parts,"151,668,135",7.50,7.50,2,,,,European Union
850511 -- Of metal,"6,088,545",7.50,7.50,2,,,,European Union
850519 -- Other,"3,255,734",7.50,7.50,1,,,,European Union
"850520 - Electro-magnetic couplings, clutches and brakes","4,527,630",7.50,7.50,1,,,,European Union
"850590 - Other, including parts","6,840,406",7.50,7.50,1,,,,European Union
850610 -Manganese dioxide,"13,311",10.00,10.00,1,,,,European Union
850630 -Mercuric oxide,,10.00,10.00,1,,,,European Union
850640 - Silver oxide,"1,452",10.00,10.00,1,,,,European Union
850650 - Lithium,"1,777,021",10.00,10.00,1,,,,European Union
850660 - Air-zinc,"1,593,256",10.00,10.00,1,,,,European Union
850680 - Other primary cells and primary batteries,"2,066,731",10.00,10.00,2,,,,European Union
850690 - Parts,"107,217",10.00,10.00,1,,,,European Union
"850710 - Lead-acid, of a kind used for starting piston engines","3,877,716",10.00,10.00,1,,,,European Union
850720 - Other lead-acid accumulators,"3,603,618",10.00,10.00,1,,,,European Union
850730 - Nickel-cadmium,"1,086,012",10.00,10.00,1,,,,European Union
850740 - Nickel-iron,,10.00,10.00,1,,,,European Union
850750 - Nickel-metal hydride,"153,950",10.00,10.00,1,,,,European Union
850760 - Lithium-ion,"2,342,235",10.00,10.00,1,,,,European Union
850780 - Other accumulators,"4,614,232",10.00,10.00,1,,,,European Union
850790 - Parts,"11,477,249",10.00,10.00,2,,,,European Union
"850811 -- Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l","467,400",10.00,10.00,1,,,,European Union
850819 -- Other,"1,959,246",10.00,10.00,1,,,,European Union
850860 - Other vacuum cleaners,"3,207,627",10.00,10.00,1,,,,European Union
850870 - Parts,"820,108",10.00,10.00,1,,,,European Union
850940 - Food grinders and mixers; fruit or vegetable juice extractors,"586,413",10.00,10.00,2,,,,European Union
850980 - Other appliances,"1,229,387",10.00,10.00,1,,,,European Union
850990 - Parts,"53,453",10.00,10.00,1,,,,European Union
851010 - Shavers,"626,624",10.00,10.00,1,,,,European Union
851020 - Hair clippers,"790,255",10.00,10.00,1,,,,European Union
851030 - Hair-removing appliances,"1,063,093",10.00,10.00,1,,,,European Union
