Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,30.00,0.00,1,,1,,Cambodia
081050 - Kiwifruit,,30.00,0.00,1,,1,,Cambodia
081060 - Durians,,15.00,0.00,1,,1,,Cambodia
081070 - Persimmons,,30.00,0.00,1,,1,,Cambodia
081090 - Other,,15.00,0.00,7,,7,,Cambodia
081110 - Strawberries,,30.00,0.00,3,,3,,Cambodia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,30.00,0.00,3,,3,,Cambodia
081190 - Other,,30.00,0.00,2,,2,,Cambodia
081210 - Cherries,,30.00,0.00,1,,1,,Cambodia
081290 - Other,,30.00,0.00,2,,2,,Cambodia
081310 - Apricots,,30.00,24.00,1,,1,,Cambodia
081320 - Prunes,,25.00,0.00,1,,1,,Cambodia
081330 - Apples,,30.00,0.00,1,,1,,Cambodia
081340 - Other fruit,,30.00,27.00,3,,3,,Cambodia
081350 - Mixtures of nuts or dried fruits of this Chapter,,30.00,0.00,2,,2,,Cambodia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,30.00,0.00,1,,1,,Cambodia
,2015,"855,142",35.05,9.97,101,2,88,1,Cambodia
080111 -- Desiccated,,70.00,60.20,1,,1,,Cambodia
080112 -- In the inner shell (endocarp),,70.00,0.00,3,,3,,Cambodia
080119 -- Other,,70.00,0.00,3,,3,,Cambodia
080121 -- In shell,,30.00,0.00,1,,1,,Cambodia
080122 -- Shelled,,30.00,0.00,1,,1,,Cambodia
080131 -- In shell,"426,978",0.00,0.00,1,,,,Cambodia
080132 -- Shelled,,45.00,45.00,3,,,,Cambodia
080211 -- In shell,,,0.00,1,1,1,,Cambodia
080212 -- Shelled,,,,1,1,1,1,Cambodia
080221 -- In shell,,10.00,0.00,1,,1,,Cambodia
080222 -- Shelled,,10.00,0.00,1,,1,,Cambodia
080231 -- In shell,,30.00,22.50,1,,1,,Cambodia
080232 -- Shelled,,30.00,22.50,1,,1,,Cambodia
080241 -- In shell,,30.00,0.00,1,,1,,Cambodia
080242 -- Shelled,,30.00,0.00,1,,1,,Cambodia
080251 -- In shell,,10.00,0.00,1,,1,,Cambodia
080252 -- Shelled,,10.00,0.00,1,,1,,Cambodia
080261 -- In shell,,30.00,0.00,1,,1,,Cambodia
080262 -- Shelled,,30.00,0.00,1,,1,,Cambodia
080270 - Kola nuts (Cola spp.),,30.00,0.00,1,,1,,Cambodia
080280 - Areca nuts,,100.00,0.00,4,,4,,Cambodia
080290 - Other,"428,164",30.00,30.00,1,,,,Cambodia
080310 - Plantains,,30.00,30.00,2,,,,Cambodia
080390 - Other,,30.00,30.00,2,,,,Cambodia
080410 - Dates,,25.00,0.00,4,,4,,Cambodia
080420 - Figs,,30.00,0.00,2,,2,,Cambodia
080430 - Pineapples,,30.00,0.00,1,,1,,Cambodia
080440 - Avocados,,30.00,0.00,1,,1,,Cambodia
"080450 - Guavas, mangoes and mangosteens",,30.00,25.50,5,,5,,Cambodia
080510 - Oranges,,30.00,27.00,1,,1,,Cambodia
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,30.00,0.00,1,,1,,Cambodia
"080540 - Grapefruit, including pomelos",,25.00,0.00,1,,1,,Cambodia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,30.00,0.00,1,,1,,Cambodia
080590 - Other,,30.00,0.00,1,,1,,Cambodia
080610 - Fresh,,30.00,27.00,1,,1,,Cambodia
080620 - Dried,,100.00,90.00,2,,2,,Cambodia
080711 -- Watermelons,,30.00,0.00,1,,1,,Cambodia
080719 -- Other,,30.00,30.00,1,,,,Cambodia
080720 - Papaws (papayas),,30.00,0.00,1,,1,,Cambodia
080810 - Apples,,50.00,50.00,1,,,,Cambodia
080830 - Pears,,30.00,30.00,1,,,,Cambodia
080840 - Quinces,,30.00,30.00,1,,,,Cambodia
080910 - Apricots,,30.00,0.00,1,,1,,Cambodia
080921 -- Sour cherries (Prunus cerasus),,30.00,0.00,1,,1,,Cambodia
080929 -- Other,,30.00,0.00,1,,1,,Cambodia
"080930 - Peaches, including nectarines",,30.00,0.00,1,,1,,Cambodia
080940 - Plums and sloes,,25.00,0.00,1,,1,,Cambodia
081010 - Strawberries,,30.00,0.00,1,,1,,Cambodia
"081020 - Raspberries, blackberries, mulberries and loganberries",,30.00,0.00,1,,1,,Cambodia
"081030 - Black, white or red currants and gooseberries",,30.00,0.00,1,,1,,Cambodia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,30.00,0.00,1,,1,,Cambodia
081050 - Kiwifruit,,30.00,0.00,1,,1,,Cambodia
081060 - Durians,,15.00,0.00,1,,1,,Cambodia
081070 - Persimmons,,30.00,0.00,1,,1,,Cambodia
081090 - Other,,15.00,0.00,7,,7,,Cambodia
081110 - Strawberries,,30.00,0.00,3,,3,,Cambodia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,30.00,0.00,3,,3,,Cambodia
081190 - Other,,30.00,0.00,2,,2,,Cambodia
081210 - Cherries,,30.00,0.00,1,,1,,Cambodia
081290 - Other,,30.00,0.00,2,,2,,Cambodia
081310 - Apricots,,30.00,24.00,1,,1,,Cambodia
081320 - Prunes,,25.00,0.00,1,,1,,Cambodia
081330 - Apples,,30.00,0.00,1,,1,,Cambodia
081340 - Other fruit,,30.00,27.00,3,,3,,Cambodia
081350 - Mixtures of nuts or dried fruits of this Chapter,,30.00,0.00,2,,2,,Cambodia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,30.00,0.00,1,,1,,Cambodia
,2014,"269,346",35.45,9.92,101,2,89,1,Cambodia
080111 -- Desiccated,,70.00,60.20,1,,1,,Cambodia
080112 -- In the inner shell (endocarp),,70.00,0.00,3,,3,,Cambodia
080119 -- Other,,70.00,0.00,3,,3,,Cambodia
080121 -- In shell,,30.00,0.00,1,,1,,Cambodia
080122 -- Shelled,,30.00,0.00,1,,1,,Cambodia
080131 -- In shell,"269,346",0.00,0.00,1,,,,Cambodia
080132 -- Shelled,,40.00,40.00,3,,,,Cambodia
080211 -- In shell,,,0.00,1,1,1,,Cambodia
080212 -- Shelled,,,,1,1,1,1,Cambodia
080221 -- In shell,,10.00,0.00,1,,1,,Cambodia
080222 -- Shelled,,10.00,0.00,1,,1,,Cambodia
080231 -- In shell,,30.00,22.50,1,,1,,Cambodia
080232 -- Shelled,,30.00,22.50,1,,1,,Cambodia
080241 -- In shell,,30.00,0.00,1,,1,,Cambodia
080242 -- Shelled,,30.00,0.00,1,,1,,Cambodia
080251 -- In shell,,10.00,0.00,1,,1,,Cambodia
080252 -- Shelled,,10.00,0.00,1,,1,,Cambodia
080261 -- In shell,,30.00,0.00,1,,1,,Cambodia
080262 -- Shelled,,30.00,0.00,1,,1,,Cambodia
080270 - Kola nuts (Cola spp.),,30.00,0.00,1,,1,,Cambodia
080280 - Areca nuts,,100.00,0.00,4,,4,,Cambodia
080290 - Other,,100.00,40.00,1,,1,,Cambodia
080310 - Plantains,,30.00,30.00,2,,,,Cambodia
080390 - Other,,30.00,30.00,2,,,,Cambodia
080410 - Dates,,25.00,0.00,4,,4,,Cambodia
080420 - Figs,,30.00,0.00,2,,2,,Cambodia
080430 - Pineapples,,30.00,0.00,1,,1,,Cambodia
080440 - Avocados,,30.00,0.00,1,,1,,Cambodia
"080450 - Guavas, mangoes and mangosteens",,30.00,25.50,5,,5,,Cambodia
080510 - Oranges,,30.00,27.00,1,,1,,Cambodia
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,30.00,0.00,1,,1,,Cambodia
"080540 - Grapefruit, including pomelos",,25.00,0.00,1,,1,,Cambodia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,30.00,0.00,1,,1,,Cambodia
080590 - Other,,30.00,0.00,1,,1,,Cambodia
080610 - Fresh,,30.00,27.00,1,,1,,Cambodia
080620 - Dried,,100.00,90.00,2,,2,,Cambodia
080711 -- Watermelons,,30.00,0.00,1,,1,,Cambodia
080719 -- Other,,30.00,30.00,1,,,,Cambodia
080720 - Papaws (papayas),,30.00,0.00,1,,1,,Cambodia
080810 - Apples,,50.00,50.00,1,,,,Cambodia
080830 - Pears,,30.00,30.00,1,,,,Cambodia
080840 - Quinces,,30.00,30.00,1,,,,Cambodia
080910 - Apricots,,30.00,0.00,1,,1,,Cambodia
080921 -- Sour cherries (Prunus cerasus),,30.00,0.00,1,,1,,Cambodia
080929 -- Other,,30.00,0.00,1,,1,,Cambodia
"080930 - Peaches, including nectarines",,30.00,0.00,1,,1,,Cambodia
080940 - Plums and sloes,,25.00,0.00,1,,1,,Cambodia
081010 - Strawberries,,30.00,0.00,1,,1,,Cambodia
"081020 - Raspberries, blackberries, mulberries and loganberries",,30.00,0.00,1,,1,,Cambodia
"081030 - Black, white or red currants and gooseberries",,30.00,0.00,1,,1,,Cambodia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,30.00,0.00,1,,1,,Cambodia
081050 - Kiwifruit,,30.00,0.00,1,,1,,Cambodia
081060 - Durians,,15.00,0.00,1,,1,,Cambodia
081070 - Persimmons,,15.00,0.00,1,,1,,Cambodia
081090 - Other,,15.00,0.00,7,,7,,Cambodia
081110 - Strawberries,,30.00,0.00,3,,3,,Cambodia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,30.00,0.00,3,,3,,Cambodia
081190 - Other,,30.00,0.00,2,,2,,Cambodia
081210 - Cherries,,30.00,0.00,1,,1,,Cambodia
081290 - Other,,30.00,0.00,2,,2,,Cambodia
081310 - Apricots,,30.00,24.00,1,,1,,Cambodia
081320 - Prunes,,25.00,0.00,1,,1,,Cambodia
081330 - Apples,,30.00,0.00,1,,1,,Cambodia
081340 - Other fruit,,30.00,27.00,3,,3,,Cambodia
081350 - Mixtures of nuts or dried fruits of this Chapter,,30.00,0.00,2,,2,,Cambodia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,30.00,0.00,1,,1,,Cambodia
,2013,"117,535",35.15,21.93,101,2,62,,Cambodia
080111 -- Desiccated,,70.00,52.50,1,,1,,Cambodia
080112 -- In the inner shell (endocarp),,70.00,70.00,3,,,,Cambodia
080119 -- Other,,70.00,70.00,3,,,,Cambodia
080121 -- In shell,,30.00,0.00,1,,1,,Cambodia
080122 -- Shelled,,30.00,0.00,1,,1,,Cambodia
080131 -- In shell,"117,535",0.00,0.00,1,,,,Cambodia
080132 -- Shelled,,30.00,30.00,3,,,,Cambodia
080211 -- In shell,,,,1,1,,,Cambodia
080212 -- Shelled,,,,1,1,,,Cambodia
080221 -- In shell,,10.00,0.00,1,,1,,Cambodia
080222 -- Shelled,,10.00,0.00,1,,1,,Cambodia
080231 -- In shell,,30.00,30.00,1,,,,Cambodia
080232 -- Shelled,,30.00,30.00,1,,,,Cambodia
080241 -- In shell,,30.00,0.00,1,,1,,Cambodia
080242 -- Shelled,,30.00,0.00,1,,1,,Cambodia
080251 -- In shell,,10.00,10.00,1,,,,Cambodia
080252 -- Shelled,,10.00,10.00,1,,,,Cambodia
080261 -- In shell,,30.00,0.00,1,,1,,Cambodia
080262 -- Shelled,,30.00,0.00,1,,1,,Cambodia
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,Cambodia
080280 - Areca nuts,,100.00,40.00,4,,4,,Cambodia
080290 - Other,,100.00,100.00,1,,,,Cambodia
080310 - Plantains,,30.00,30.00,2,,,,Cambodia
080390 - Other,,30.00,30.00,2,,,,Cambodia
080410 - Dates,,25.00,20.00,4,,4,,Cambodia
080420 - Figs,,30.00,30.00,2,,,,Cambodia
080430 - Pineapples,,30.00,7.50,1,,1,,Cambodia
080440 - Avocados,,30.00,30.00,1,,,,Cambodia
"080450 - Guavas, mangoes and mangosteens",,30.00,5.10,5,,5,,Cambodia
080510 - Oranges,,30.00,27.00,1,,1,,Cambodia
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,30.00,24.00,1,,1,,Cambodia
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,Cambodia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,30.00,30.00,1,,,,Cambodia
080590 - Other,,30.00,24.00,1,,1,,Cambodia
080610 - Fresh,,30.00,27.00,1,,1,,Cambodia
080620 - Dried,,100.00,90.00,2,,2,,Cambodia
080711 -- Watermelons,,30.00,24.00,1,,1,,Cambodia
080719 -- Other,,30.00,30.00,1,,,,Cambodia
080720 - Papaws (papayas),,30.00,24.00,1,,1,,Cambodia
080810 - Apples,,50.00,50.00,1,,,,Cambodia
080830 - Pears,,30.00,30.00,1,,,,Cambodia
080840 - Quinces,,30.00,30.00,1,,,,Cambodia
080910 - Apricots,,30.00,0.00,1,,1,,Cambodia
080921 -- Sour cherries (Prunus cerasus),,30.00,30.00,1,,,,Cambodia
080929 -- Other,,30.00,30.00,1,,,,Cambodia
"080930 - Peaches, including nectarines",,30.00,30.00,1,,,,Cambodia
080940 - Plums and sloes,,25.00,25.00,1,,,,Cambodia
081010 - Strawberries,,30.00,0.00,1,,1,,Cambodia
"081020 - Raspberries, blackberries, mulberries and loganberries",,30.00,0.00,1,,1,,Cambodia
"081030 - Black, white or red currants and gooseberries",,30.00,0.00,1,,1,,Cambodia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,30.00,0.00,1,,1,,Cambodia
081050 - Kiwifruit,,30.00,0.00,1,,1,,Cambodia
081060 - Durians,,15.00,0.00,1,,1,,Cambodia
081070 - Persimmons,,15.00,0.00,1,,1,,Cambodia
081090 - Other,,15.00,0.00,7,,7,,Cambodia
081110 - Strawberries,,30.00,0.00,3,,3,,Cambodia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,30.00,0.00,3,,3,,Cambodia
081190 - Other,,30.00,0.00,2,,2,,Cambodia
081210 - Cherries,,30.00,30.00,1,,,,Cambodia
081290 - Other,,30.00,25.50,2,,2,,Cambodia
081310 - Apricots,,30.00,24.00,1,,1,,Cambodia
081320 - Prunes,,25.00,0.00,1,,1,,Cambodia
081330 - Apples,,30.00,30.00,1,,,,Cambodia
081340 - Other fruit,,30.00,27.00,3,,3,,Cambodia
081350 - Mixtures of nuts or dried fruits of this Chapter,,30.00,30.00,2,,,,Cambodia
